FRB,Avg_FWHM,PSFEx_Avg_FWHM,Delta_Avg_FWHM_PSFEx_minus_ePSF,ePSF_moffat_fwhm,PSFEx_moffat_fwhm,Delta_moffat_fwhm_PSFEx_minus_ePSF,ePSF_exp_minus_moffat_fwhm,PSFEx_exp_minus_moffat_fwhm,ePSF_exp_over_moffat_fwhm_ratio,PSFEx_exp_over_moffat_fwhm_ratio,Abs_ePSF_exp_minus_moffat_fwhm,Abs_PSFEx_exp_minus_moffat_fwhm,ePSF_max_frac_resid_pct,PSFEx_max_frac_resid_pct,Delta_fit_resid_pct_PSFEx_minus_ePSF,Better_Moffat_Fit_by_MaxFracResid,Better_ExpVsMoffat_Agreement
20211127I,5.374892048203432,5.289800050817185,-0.08509199738624762,4.939080861901793,4.876827569101479,-0.062253292800313886,0.4358111863016392,0.41297248171570544,1.0882373053786834,1.0846805583884511,0.4358111863016392,0.41297248171570544,3.27387325572727,2.658505341619743,-0.615367914107527,PSFEx,PSFEx
20211203C,4.436593652394394,4.166690614204964,-0.2699030381894296,3.6156937009196524,3.554659737549585,-0.06103396337006739,0.8208999514747415,0.6120308766553793,1.2270380235101068,1.1721770638663953,0.8208999514747415,0.6120308766553793,2.234599500648448,3.3439681902263714,1.1093686895779236,ePSF,PSFEx
20211212A,5.06495614690898,5.816161230359523,0.751205083450543,4.3973101460657915,5.18111757977157,0.7838074337057783,0.6676460008431881,0.6350436505879529,1.1518305460988512,1.1225688552345017,0.6676460008431881,0.6350436505879529,2.340553588586849,9.141123052472757,6.800569463885909,ePSF,PSFEx
20220207C,5.130368216661412,4.997727506573781,-0.1326407100876308,4.376748888673534,4.446266408591927,0.06951751991839306,0.7536193279878782,0.5514610979818544,1.1721870153296088,1.1240279028076716,0.7536193279878782,0.5514610979818544,6.046531004313497,4.413597182128457,-1.6329338221850396,PSFEx,PSFEx
20220307B,5.38139120435608,5.122173331273169,-0.25921787308291133,4.659873157169403,4.599861361753309,-0.06001179541609414,0.7215180471866773,0.5223119695198601,1.1548364135355471,1.1135495025703932,0.7215180471866773,0.5223119695198601,2.4957414669202134,2.5293229359298386,0.03358146900962522,ePSF,PSFEx
20220310F,5.521390534442004,5.229397285847474,-0.2919932485945296,4.923617928595425,4.8000853305952615,-0.12353259800016314,0.5977726058465791,0.42931195525221266,1.1214092186915705,1.0894384007125502,0.5977726058465791,0.42931195525221266,2.618505278299206,2.257614404694346,-0.3608908736048604,PSFEx,PSFEx
20220319D,4.973450589780825,4.846544525282685,-0.12690606449814013,4.221262671642785,4.224566591045878,0.0033039194030930474,0.7521879181380395,0.6219779342368064,1.178190265957866,1.1472288152718697,0.7521879181380395,0.6219779342368064,3.172212401208446,3.4330812721736983,0.26086887096525224,ePSF,PSFEx
20220509G,6.098852889767064,6.574235944860851,0.4753830550937863,5.927514662741283,6.2026917220178746,0.27517705927659186,0.17133822702578172,0.37154422284297617,1.0289055762447568,1.059900481838247,0.17133822702578172,0.37154422284297617,5.479904751889531,7.430491577291532,1.9505868254020005,ePSF,ePSF
20220825A,5.0103061152331145,4.679854148857588,-0.3304519663755263,4.1465144044675295,4.070578282757478,-0.07593612171005137,0.863791710765585,0.6092758661001101,1.2083175473440826,1.1496779631240446,0.863791710765585,0.6092758661001101,3.385512378362263,3.006859076151669,-0.37865330221059423,PSFEx,PSFEx
20220912A,4.775854868584393,4.619784357440709,-0.15607051114368353,4.012037217572819,3.975889804573929,-0.036147412998889905,0.763817651011574,0.6438945528667803,1.1903814968779538,1.1619497985396963,0.763817651011574,0.6438945528667803,2.7482019455225775,2.421303208163825,-0.32689873735875263,PSFEx,PSFEx
20220914A,6.810158239334692,7.084071126750646,0.2739128874159542,6.716480586057525,6.738600733014514,0.02212014695698894,0.09367765327716704,0.3454703937361323,1.0139474315568824,1.0512673784104116,0.09367765327716704,0.3454703937361323,6.750842686035233,7.3901275538935955,0.6392848678583629,ePSF,ePSF
20220920A,5.946069508778029,6.044227938790211,0.09815843001218205,5.604366019968813,5.600216619785345,-0.004149400183467655,0.3417034888092161,0.4440113190048658,1.060970944365821,1.0792846686387436,0.3417034888092161,0.4440113190048658,5.875477256128133,7.837838704720373,1.9623614485922403,ePSF,ePSF
20221012A,6.174577531724385,6.397970585836404,0.22339305411201948,5.879043492513333,6.028043214719674,0.14899972220634172,0.29553403921105215,0.3699273711167299,1.050269068359062,1.0613677370814822,0.29553403921105215,0.3699273711167299,6.809474223513827,5.819476495524355,-0.989997727989472,PSFEx,ePSF
