frb,coord_semantics,survey,status,has_published_localization_ref,exclude_class,major_sigma_as,minor_sigma_as,ra_err_as,dec_err_as,has_maj_min_ellipse,redshift,repeater_source,literature_note
20231020B,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20230907D,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20230712A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20220204A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20230613A,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20240119A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20220717A,host,MeerKAT,pending,yes,,,,,,False,,"Rajwade et al. 2024, MNRAS 532, 3881 (doi:10.1093/mnras/stae1652)",
20220726A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20231220A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20180301A,host,RealFAST,pending,yes,,,,,,False,,"Bhandari et al. 2022, AJ 163, 69 (doi:10.3847/1538-3881/ac3aec)",
20230626A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20230125D,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20230913,host,DSA-110,pending,no,verdi_inprep,,,,,False,,Verdi+2025,TeX + master cite Verdi+2025 only; no ADS/arXiv Verdi FRB paper found as of 2026-07-21
20230501A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20220506D,host,DSA-110,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20240229A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20221116A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
