frb,n_sersic_components,single_sersic,host_number,snr_win,snr_auto,chi2nu,mag,mag_err,re,re_err,n,n_err,b_a,b_a_err,pa,pa_err,x,x_err,y,y_err,inc,inc_err,zp_ok,ref_survey,ref_mag,ref_mag_err,ref_sep_arcsec,mag_final,mag_final_err,mag_final_source,parse_strategy,fit_log_path
20220105A,1,True,560,1.066475,1.1325535699222258,0.967,21.47,0.03,2.52,0.23,1.87,0.78,0.11,0.14,-42.57,3.42,25.06,0.07,26.03,0.09,90.0,4.4031,True,LS_DR10,21.2015,0.0177,0.019,21.47,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220105A_all/fit.log
20220207C,1,True,30,60.675266,63.26867156438312,0.591,18.12,0.02,23.44,0.41,0.5,0.02,0.23,0.0,43.66,0.31,32.19,0.18,33.02,0.19,83.3433,0.0,True,PS1_DR1,18.7117,0.0886,0.256,18.12,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220207C_all/fit.log
20220307B,1,True,108,49.376762,44.987155342392455,0.968,19.87,0.02,5.64,0.21,0.58,0.1,0.63,0.03,80.85,3.62,28.45,0.15,25.33,0.11,52.43,2.336,True,PS1_DR1,19.8972,0.0506,0.22,19.87,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220307B_all/fit.log
20220310F,1,True,70,2.0974252,2.3258355626159393,0.762,20.83,0.03,4.36,0.18,1.5,0.17,0.69,0.03,-61.05,3.38,29.55,0.06,27.49,0.05,47.6238,2.484,True,LS_DR10,20.908,0.0232,0.023,20.83,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220310F_all/fit.log
20220319D,1,True,100,499.1199,312.0616304088467,1.494,16.08,0.04,26.65,2.11,6.0,0.2,0.8,0.01,60.58,1.2,74.76,0.01,60.5,0.01,37.7612,0.9865,True,PS1_DR1,16.2,0.0463,0.053,16.08,0.04,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220319D_all/fit.log
20220418A,1,True,589,1.9899198,2.1062560474852354,0.694,20.88,0.01,5.09,0.13,0.5,0.06,0.76,0.02,35.59,3.78,27.61,0.06,28.71,0.08,41.5539,1.829,True,LS_DR10,20.7467,0.0293,0.033,20.88,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220418A_all/fit.log
20220501C,1,True,349,0.7897678,0.7154783822645245,0.966,21.8,0.09,2.42,0.54,1.31,1.53,0.52,0.21,82.79,16.47,22.95,0.26,22.86,0.22,60.6661,15.8904,True,LS_DR10,22.0697,0.0454,0.198,21.8,0.09,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220501C_all/fit.log
20220509G,1,True,113,9.425347,12.228336981957145,110.958,16.66,0.01,12.62,0.09,0.5,0.02,0.38,0.0,-59.16,0.3,70.41,0.06,55.55,0.04,70.745,0.0,True,LS_DR10,16.5801,0.0014,0.03,16.66,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220509G_all/fit.log
20220717A,1,True,2227,22.687368,20.374418956537447,1.033,18.29,0.08,3.57,0.26,0.66,0.4,0.07,0.09,-80.68,3.27,24.19,0.19,22.58,0.12,90.0,12.3762,False,PS1_DR1,21.4145,0.0237,1.282,21.4145,0.0237,reference_PS1_DR1,last_sane_single_sersic,pipeline_scripts/Output/20220717A_all/fit.log
20220725A,1,True,1398,3.782863,4.816241100757767,3.745,17.76,0.0,6.67,0.02,0.96,0.01,0.6,0.0,-60.21,0.2,41.83,0.01,40.89,0.01,54.7356,0.0,True,LS_DR10,17.8053,0.0004,0.105,17.76,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220725A_all/fit.log
20220825A,1,True,52,40.14533,37.04735860798492,0.941,19.98,0.04,5.45,0.37,0.68,0.16,0.62,0.05,44.29,6.07,25.71,0.17,25.78,0.17,53.2047,3.8661,True,PS1_DR1,20.0555,0.0504,0.3,19.98,0.04,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220825A_all/fit.log
20220912A,1,True,173,53.29874,49.79257242644996,0.943,19.52,0.03,5.23,0.21,0.86,0.09,0.63,0.03,36.29,3.35,26.15,0.07,26.86,0.09,52.43,2.336,True,PS1_DR1,19.5597,0.0384,0.174,19.52,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220912A_all/fit.log
20220914A,1,True,83,3.4518602,4.039480161520944,0.845,19.65,0.02,4.76,0.1,2.55,0.15,0.51,0.01,-63.58,0.79,33.58,0.02,32.5,0.02,61.3915,0.7242,True,LS_DR10,19.6017,0.0072,0.022,19.65,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220914A_all/fit.log
20220918A,1,True,8027,0.5299739,0.5712195955807057,0.915,23.08,0.29,1.5,0.51,0.5,1.19,0.09,1.52,-67.82,39.01,23.22,0.09,23.74,0.06,90.0,45.0,True,,,,,23.08,0.29,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220918A_all/fit.log
20220920A,1,True,78,6.5116773,8.007436346560738,0.956,18.13,0.0,7.24,0.03,1.12,0.01,0.86,0.0,47.94,0.83,40.52,0.01,51.56,0.01,31.387,0.0,True,LS_DR10,18.0326,0.0031,0.047,18.13,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20220920A_all/fit.log
20221012A,1,True,105,3.854566,4.717366013837854,0.725,18.96,0.01,5.61,0.06,2.01,0.05,0.53,0.0,9.98,0.41,32.58,0.01,35.56,0.02,59.938,0.0,True,LS_DR10,18.9228,0.0051,0.019,18.96,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20221012A_all/fit.log
20221101B,1,True,1347,87.94529,73.72738066348178,1.063,18.32,0.3,17.47,7.98,4.18,0.94,0.75,0.03,-34.1,4.52,27.85,0.05,28.63,0.06,42.4601,2.7009,False,PS1_DR1,19.4179,0.0411,1.277,19.4179,0.0411,reference_PS1_DR1,last_sane_single_sersic,pipeline_scripts/Output/20221101B_all/fit.log
20221106A,1,True,740,3.1908076,3.9493524688004014,0.81,18.09,0.01,9.38,0.12,1.79,0.03,0.67,0.0,26.55,0.44,37.58,0.01,39.24,0.01,49.2591,0.0,True,LS_DR10,18.2792,0.0016,0.013,18.09,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20221106A_all/fit.log
20221116A,1,True,1155,21.47935,19.128243972766093,0.881,17.01,1.91,73.63,242.77,6.0,7.09,0.16,0.04,71.22,2.75,22.44,0.49,22.78,0.22,90.0,7.7818,False,,,,,,,unavailable,last_sane_single_sersic,pipeline_scripts/Output/20221116A_all/fit.log
20221219A,1,True,661,1.2587523,1.291325543508079,0.884,21.97,0.02,3.98,0.27,0.5,0.35,0.43,0.07,1.16,4.06,26.46,0.1,27.95,0.14,67.1384,5.0485,True,LS_DR10,21.6702,0.0365,0.032,21.97,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20221219A_all/fit.log
