frb,chi2nu_nopsf,mag_nopsf,mag_err_nopsf,re_nopsf,re_err_nopsf,n_nopsf,n_err_nopsf,b_a_nopsf,b_a_err_nopsf,pa_nopsf,pa_err_nopsf,x_nopsf,x_err_nopsf,y_nopsf,y_err_nopsf,chi2nu_psf,mag_psf,mag_err_psf,re_psf,re_err_psf,n_psf,n_err_psf,b_a_psf,b_a_err_psf,pa_psf,pa_err_psf,x_psf,x_err_psf,y_psf,y_err_psf,parse_strategy_nopsf,parse_strategy_psf,fit_log_path_nopsf,fit_log_path_psf,inc_nopsf,inc_err_nopsf,inc_psf,inc_err_psf
20191228A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200430A,0.642,21.13,0.02,3.34,0.1,0.72,0.03,0.73,0.01,20.37,2.88,17.65,0.04,20.23,0.05,0.667,20.89,0.28,1.5,0.21,2.96,1.11,0.04,0.1,22.75,4.86,17.7,0.11,20.16,0.24,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20200430A/no_psf_sigma/fit.log,tools/galfit/runs/20200430A/with_psf_sigma/fit.log,44.23,0.8719,90.0,13.1922
20200627A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210407E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210809C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210912A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220105A,0.827,21.31,0.02,4.44,0.12,0.58,0.03,0.58,0.01,-40.43,1.51,18.01,0.05,14.99,0.06,0.858,21.16,0.71,2.7,5.6,0.72,5.77,0.03,0.7,-45.25,79.17,18.12,0.21,15.11,0.06,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220105A/no_psf_sigma/fit.log,tools/galfit/runs/20220105A/with_psf_sigma/fit.log,56.2443,0.7494,90.0,22.885
20220501C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220531A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220610A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220725A,20.109,17.83,0.0,7.53,0.02,0.8,0.0,0.71,0.0,-61.59,0.27,36.97,0.01,35.06,0.01,24.373,17.82,0.0,6.08,0.03,1.25,0.02,0.57,0.0,-62.73,0.31,36.97,0.01,35.05,0.01,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20220725A/no_psf_sigma/fit.log,tools/galfit/runs/20220725A/with_psf_sigma/fit.log,45.9491,0.0,56.9913,0.0
20220918A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221106A,7.298,18.3,0.01,6.79,0.07,1.11,0.01,0.77,0.0,22.95,0.86,34.51,0.02,25.28,0.02,7.337,17.85,0.06,10.8,1.15,4.82,0.35,0.62,0.01,22.21,0.88,34.56,0.02,25.28,0.02,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20221106A/no_psf_sigma/fit.log,tools/galfit/runs/20221106A/with_psf_sigma/fit.log,40.6322,0.0,53.2047,0.7716
20230521A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230526A,4.989,20.54,0.01,2.89,0.05,0.71,0.02,0.93,0.01,-46.41,9.03,21.61,0.02,31.99,0.02,5.194,20.14,0.06,1.5,0.27,6.0,2.42,0.03,0.01,41.0,1.03,21.64,0.14,31.98,0.08,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20230526A/no_psf_sigma/fit.log,tools/galfit/runs/20230526A/with_psf_sigma/fit.log,22.0329,1.6001,90.0,3.747
20230708A,0.835,22.89,0.08,3.1,0.24,0.72,0.07,0.85,0.05,-83.86,12.63,13.71,0.11,8.67,0.09,0.928,22.63,1.45,1.5,1.99,3.22,6.11,0.04,0.36,72.91,13.09,13.5,1.61,8.72,0.33,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20230708A/no_psf_sigma/fit.log,tools/galfit/runs/20230708A/with_psf_sigma/fit.log,32.5235,5.6728,90.0,10.3524
20230718A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230731A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230902A,0.773,21.54,0.01,3.29,0.05,0.68,0.01,0.83,0.01,-3.03,2.49,16.91,0.02,14.38,0.03,0.773,21.51,0.01,1.84,0.06,1.3,0.24,0.5,0.03,-3.26,2.36,16.92,0.03,14.38,0.03,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20230902A/no_psf_sigma/fit.log,tools/galfit/runs/20230902A/with_psf_sigma/fit.log,34.699,1.0589,62.1144,2.1671
20231006A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231226A,1.427,18.9,0.01,8.5,0.1,0.71,0.01,0.82,0.01,-16.23,1.65,32.02,0.04,22.9,0.05,1.451,18.89,0.02,7.72,0.12,0.85,0.03,0.76,0.01,-18.41,1.57,32.06,0.04,23.06,0.05,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20231226A/no_psf_sigma/fit.log,tools/galfit/runs/20231226A/with_psf_sigma/fit.log,35.7441,1.0326,41.5539,0.9139
20240201A,1.868,16.97,0.0,18.1,0.05,0.7,0.0,0.24,0.0,62.17,0.05,67.52,0.03,30.35,0.02,2.023,16.99,0.0,17.46,0.05,0.74,0.01,0.18,0.0,62.18,0.05,67.5,0.03,30.45,0.02,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240201A/no_psf_sigma/fit.log,tools/galfit/runs/20240201A/with_psf_sigma/fit.log,82.2182,0.0,90.0,0.0
20240208A,0.813,21.79,0.01,3.47,0.04,0.65,0.01,0.71,0.01,67.48,1.1,19.92,0.02,23.34,0.02,0.806,21.73,0.46,1.7,0.18,1.4,0.45,0.05,0.14,71.92,4.11,19.92,0.32,23.34,0.03,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240208A/no_psf_sigma/fit.log,tools/galfit/runs/20240208A/with_psf_sigma/fit.log,45.9491,0.8481,90.0,16.2975
20240210A,88.813,14.86,0.0,29.15,0.15,1.09,0.01,0.61,0.0,56.23,0.23,115.05,0.04,102.26,0.03,89.261,14.85,0.0,29.36,0.16,1.16,0.01,0.6,0.0,56.17,0.23,115.01,0.04,102.34,0.03,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240210A/no_psf_sigma/fit.log,tools/galfit/runs/20240210A/with_psf_sigma/fit.log,53.9731,0.0,54.7356,0.0
20240304A,0.736,20.79,0.03,4.75,0.12,0.76,0.02,0.81,0.01,26.55,3.07,17.48,0.04,16.87,0.05,0.742,20.74,0.05,3.64,0.19,1.48,0.21,0.68,0.03,29.95,3.29,17.49,0.04,16.87,0.05,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240304A/no_psf_sigma/fit.log,tools/galfit/runs/20240304A/with_psf_sigma/fit.log,36.7642,1.0085,48.4461,2.4554
20240310A,39.962,22.15,0.13,3.31,0.55,0.61,0.18,0.63,0.07,-42.75,12.4,24.11,0.25,29.02,0.28,7.14,18.86,0.26,23.19,11.24,6.0,1.32,0.45,0.02,-8.02,1.3,32.73,0.04,19.73,0.06,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240310A/no_psf_sigma/fit.log,tools/galfit/runs/20240310A/with_psf_sigma/fit.log,52.43,5.4711,65.7056,1.4331
20240318A,0.775,18.85,0.01,10.25,0.06,0.7,0.01,0.57,0.0,-8.0,0.27,28.12,0.02,31.24,0.03,0.775,18.83,0.01,9.85,0.08,0.88,0.01,0.49,0.0,-8.29,0.28,28.31,0.02,31.32,0.03,last_sane_single_sersic,last_sane_single_sersic,tools/galfit/runs/20240318A/no_psf_sigma/fit.log,tools/galfit/runs/20240318A/with_psf_sigma/fit.log,56.9913,0.0,62.8353,0.0
