FRB,FWHM_0,FWHM_45,FWHM_90,FWHM_135,Avg_FWHM,moffat_alpha,moffat_gamma,moffat_fwhm,max_frac_resid_pct,ePSF_moffat_alpha,ePSF_moffat_gamma,ePSF_moffat_fwhm,ePSF_max_frac_resid_pct,PSFEx_FWHM_0,PSFEx_FWHM_45,PSFEx_FWHM_90,PSFEx_FWHM_135,PSFEx_Avg_FWHM,PSFEx_moffat_alpha,PSFEx_moffat_gamma,PSFEx_moffat_fwhm,PSFEx_max_frac_resid_pct,Delta_Avg_FWHM_PSFEx_minus_ePSF,Delta_moffat_fwhm_PSFEx_minus_ePSF,ePSF_exp_minus_moffat_fwhm,PSFEx_exp_minus_moffat_fwhm,ePSF_exp_over_moffat_fwhm_ratio,PSFEx_exp_over_moffat_fwhm_ratio,Abs_ePSF_exp_minus_moffat_fwhm,Abs_PSFEx_exp_minus_moffat_fwhm,Delta_fit_resid_pct_PSFEx_minus_ePSF,Better_Moffat_Fit_by_MaxFracResid,Better_ExpVsMoffat_Agreement
20220207C,5.09421647609634,5.624787666456108,4.752614825073968,5.049853899019235,5.130368216661412,2.468371100555506,3.889645284103412,4.429444090672278,5.964579175895823,2.1147876266413466,3.513863208733046,4.376748888673534,6.046531004313497,4.435757183235288,5.28275651315029,4.851398970060629,5.4209973598489185,4.997727506573781,2.429433274092974,3.868938564432591,4.446266408591927,4.413597182128457,-0.1326407100876308,0.06951751991839306,0.7536193279878782,0.5514610979818544,1.1721870153296088,1.1240279028076716,0.7536193279878782,0.5514610979818544,-1.6329338221850396,PSFEx,PSFEx
20220307B,5.257168664549177,5.822717851284127,5.144196054613234,5.301482246977783,5.38139120435608,2.9138748120484386,4.523573923936661,4.688436134169896,2.2847579218167264,2.6214639226367917,4.23509266934381,4.659873157169403,2.4957414669202134,4.858227983361035,5.485711680149662,4.8043984391158805,5.340355222466101,5.122173331273169,2.404114676441997,3.978546054317825,4.599861361753309,2.5293229359298386,-0.25921787308291133,-0.06001179541609414,0.7215180471866773,0.5223119695198601,1.1548364135355471,1.1135495025703932,0.7215180471866773,0.5223119695198601,0.03358146900962522,ePSF,PSFEx
20220310F,5.319693079019303,5.867123095036024,5.318571683111191,5.580174280601495,5.521390534442004,3.5143541181476747,5.2986089271282415,4.9482086632459525,2.558703567357498,3.1369130710987694,4.950628472986356,4.923617928595425,2.618505278299206,5.038065921987793,5.532497785880619,4.877554740578417,5.469470694943068,5.229397285847474,3.0056425764097043,4.71254141720991,4.8000853305952615,2.257614404694346,-0.2919932485945296,-0.12353259800016314,0.5977726058465791,0.42931195525221266,1.1214092186915705,1.0894384007125502,0.5977726058465791,0.42931195525221266,-0.3608908736048604,PSFEx,PSFEx
20220319D,4.713627209566228,5.427989389191369,4.632721343652618,5.119464416713086,4.973450589780825,2.98064320768952,4.160667709603708,4.257832622129651,3.0231707033359148,2.5991087030811855,3.817804109093637,4.221262671642785,3.172212401208446,4.585007044254794,5.258110436440725,4.461844845481876,5.081215774953346,4.846544525282685,2.3357361630964255,3.593644243813949,4.224566591045878,3.4330812721736983,-0.12690606449814013,0.0033039194030930474,0.7521879181380395,0.6219779342368064,1.178190265957866,1.1472288152718697,0.7521879181380395,0.6219779342368064,0.26086887096525224,ePSF,PSFEx
20220509G,6.084361969282695,6.281754443674771,5.894272090849865,6.135023055260922,6.098852889767064,4.058623006781611,6.8791721198555225,5.937395766133016,5.513965304832914,3.8299776075524274,6.653990384391647,5.927514662741283,5.479904751889531,6.133567653471284,6.634072648009786,6.797122101668606,6.732181376293727,6.574235944860851,3.696856887490007,6.82933868395293,6.2026917220178746,7.430491577291532,0.4753830550937863,0.27517705927659186,0.17133822702578172,0.37154422284297617,1.0289055762447568,1.059900481838247,0.17133822702578172,0.37154422284297617,1.9505868254020005,ePSF,ePSF
20220825A,4.6613544283788055,5.401881764576963,4.762817589037176,5.215170678939513,5.0103061152331145,2.553847436922619,3.750659310351424,4.188777081808634,2.504013877504801,2.223311289249179,3.4277773143978454,4.1465144044675295,3.385512378362263,4.162324223695701,5.0377342548085,4.329299102959229,5.190059013966924,4.679854148857588,2.2422850897497204,3.3816762976258135,4.070578282757478,3.006859076151669,-0.3304519663755263,-0.07593612171005137,0.863791710765585,0.6092758661001101,1.2083175473440826,1.1496779631240446,0.863791710765585,0.6092758661001101,-0.37865330221059423,PSFEx,PSFEx
20220912A,4.878795740531936,5.335779677763704,4.172894835846353,4.715949220195576,4.775854868584393,2.8838467950882203,3.86605161110728,4.030351703489477,2.741955657301641,2.6894698848341045,3.6997522363854967,4.012037217572819,2.7482019455225775,4.133968837306956,5.059812236116842,4.246397483140036,5.038958873199004,4.619784357440709,2.574926074259836,3.576775647999702,3.975889804573929,2.421303208163825,-0.15607051114368353,-0.036147412998889905,0.763817651011574,0.6438945528667803,1.1903814968779538,1.1619497985396963,0.763817651011574,0.6438945528667803,-0.32689873735875263,PSFEx,PSFEx
20220914A,6.714258714162383,6.787721967356976,6.95945434870553,6.779197927113875,6.810158239334692,4.86073152974284,8.599847056143597,6.733631494753116,6.724472616295553,4.231546355597438,7.960145452736511,6.716480586057525,6.750842686035233,6.694995412666681,7.038834476628014,7.525730940036538,7.076723677671352,7.084071126750646,3.59416148517985,7.305510439159845,6.738600733014514,7.3901275538935955,0.2739128874159542,0.02212014695698894,0.09367765327716704,0.3454703937361323,1.0139474315568824,1.0512673784104116,0.09367765327716704,0.3454703937361323,0.6392848678583629,ePSF,ePSF
20220920A,5.492196192259384,6.141429313983897,6.026850202265399,6.123802326603437,5.946069508778029,4.508866014004703,6.916919023464022,5.639317409210609,5.761351054539639,3.7264747539851406,6.197614350568178,5.604366019968813,5.875477256128133,5.548061611851113,6.226601527774404,6.223659579231794,6.178589036303536,6.044227938790211,3.946030115538057,6.389862272148168,5.600216619785345,7.837838704720373,0.09815843001218205,-0.004149400183467655,0.3417034888092161,0.4440113190048658,1.060970944365821,1.0792846686387436,0.3417034888092161,0.4440113190048658,1.9623614485922403,ePSF,ePSF
20221012A,5.817033613611633,6.3980508451702525,6.232043529188249,6.251182138927407,6.174577531724385,4.917961268980656,7.565141369013063,5.886396393270531,6.787858183656607,4.668385402842979,7.347290354271735,5.879043492513333,6.809474223513827,5.970008152707555,6.5897711480052985,6.626868675634928,6.405234366997837,6.397970585836404,4.148023192204304,7.067383411297153,6.028043214719674,5.819476495524355,0.22339305411201948,0.14899972220634172,0.29553403921105215,0.3699273711167299,1.050269068359062,1.0613677370814822,0.29553403921105215,0.3699273711167299,-0.989997727989472,PSFEx,ePSF
