objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
5722,6.929463900378406,-5.835611908016378,EXP,0.649906,1.6939481,5.212806,0.7796124,LS_DR10
5746,6.930013539059609,-5.833902607221462,DEV,0.20049316,0.45192605,1.0713414,0.7406804,LS_DR10
5318,6.918500850944326,-5.830362467469032,PSF,0.045443438,0.06861605,0.1420697,0.0,LS_DR10
5470,6.922582694245977,-5.831515203058481,PSF,0.14259702,0.52226603,0.97668976,0.0,LS_DR10
5536,6.924136925344595,-5.832049604624084,PSF,0.07362994,0.080305375,0.14187874,0.0,LS_DR10
5456,6.922042858037525,-5.830756257905304,REX,0.28353268,1.0008614,2.0127146,0.18987565,LS_DR10
5497,6.923254284777937,-5.830491841763268,PSF,0.09101262,0.11298721,0.065281436,0.0,LS_DR10
5474,6.922629490332356,-5.830208247049108,PSF,2.445072,6.8772087,11.843949,0.0,LS_DR10
5333,6.918946524231901,-5.827598546041411,REX,0.24315992,0.24806108,0.70033216,0.82274425,LS_DR10
5364,6.919686550827381,-5.826965831370543,REX,0.33236766,0.4440205,1.0165374,0.62050635,LS_DR10
5396,6.92042244892696,-5.827505161505219,REX,0.15793842,0.17475405,0.22052714,0.9854532,LS_DR10
5593,6.925897270360783,-5.832019336400927,EXP,0.18626039,0.3147972,0.5006529,0.43650845,LS_DR10
5620,6.926528046206335,-5.832499172505226,EXP,0.3543856,0.76784503,1.6924013,1.729061,LS_DR10
5589,6.925834475381198,-5.831498266011931,REX,0.14871512,0.18201962,0.5590828,0.34788707,LS_DR10
5674,6.928028383165264,-5.832027538016861,DEV,0.43914,1.0631838,1.5443605,2.7169483,LS_DR10
5608,6.926265671606378,-5.829944190252327,PSF,0.07851399,0.11209404,0.15712546,0.0,LS_DR10
5778,6.931139066689476,-5.832340560770154,REX,0.37833065,0.8740646,1.4242303,0.24582796,LS_DR10
5606,6.92625877204995,-5.827157128707903,PSF,0.062019393,0.11321049,0.18308774,0.0,LS_DR10
5734,6.929822532363397,-5.828496271932806,REX,0.15979415,0.29285383,0.6792405,0.2988055,LS_DR10
5741,6.929902580610343,-5.827720844375592,PSF,0.13242966,0.44616327,0.80066264,0.0,LS_DR10
5175,6.914992397641697,-5.825650165928736,REX,0.14042245,0.10843109,0.18988591,0.25793672,LS_DR10
5182,6.915211376687736,-5.823105641716405,PSF,0.08801457,0.05997972,0.12260301,0.0,LS_DR10
5212,6.915852019803502,-5.819307343685438,PSF,0.014755337,0.042567305,0.33485284,0.0,LS_DR10
5177,6.915095186828307,-5.81807649985738,REX,0.047529835,0.11017357,1.0221143,0.4055337,LS_DR10
5265,6.917057886723187,-5.818640055168,PSF,0.06701779,0.060642563,0.2956761,0.0,LS_DR10
5322,6.918709547166425,-5.823606532609046,REX,0.21858455,0.24271712,0.5846843,0.30601028,LS_DR10
5369,6.919838152396924,-5.819622227125943,REX,0.25839764,0.35698572,0.73356616,0.19706544,LS_DR10
5462,6.922402708023118,-5.820355986810153,PSF,0.07016743,0.07758152,0.05721697,0.0,LS_DR10
5465,6.922454936398679,-5.819308199587844,PSF,0.076509885,0.12597422,0.025934255,0.0,LS_DR10
5666,6.927837376772195,-5.825520511529141,REX,0.055149376,0.1251631,0.14736374,0.23406601,LS_DR10
5599,6.926035759618538,-5.820896944229741,REX,0.1367219,0.37839797,0.29159918,1.8864,LS_DR10
5596,6.925967625275717,-5.820152323392588,SER,2.4082432,9.390701,19.635513,0.3588485,LS_DR10
5584,6.92567799603996,-5.819151822494399,REX,0.08868858,0.3585085,0.6056227,0.58879596,LS_DR10
5425,6.921245405557052,-5.817709014061458,PSF,0.39082915,0.6590253,1.2189022,0.0,LS_DR10
5463,6.922415509841201,-5.816734894895506,PSF,0.073231585,0.07785493,0.3171981,0.0,LS_DR10
5448,6.921793941244431,-5.816023999714995,PSF,0.10603367,0.21005535,0.4110391,0.0,LS_DR10
5628,6.926700318530588,-5.817673632281767,REX,0.068271875,0.11306441,0.35336235,0.3893413,LS_DR10
5658,6.927683997391431,-5.81898249225279,REX,0.13451602,0.21553987,0.45551428,0.8323163,LS_DR10
5575,6.925340308218597,-5.816958149892106,PSF,0.040542886,0.38128242,3.781299,0.0,LS_DR10
5730,6.929705720691977,-5.8185076587507,PSF,0.0904123,0.05480961,0.020393407,0.0,LS_DR10
5713,6.92927413508529,-5.817640544473015,REX,0.080478646,0.11706074,0.220323,0.30596456,LS_DR10
5747,6.930053241891893,-5.816047734536508,PSF,0.066653706,0.12313394,0.1911135,0.0,LS_DR10
5960,6.935668134556366,-5.838423910058729,REX,0.12595987,0.099360704,0.36524868,0.46281153,LS_DR10
6020,6.936902099550243,-5.837891016132933,REX,0.15160933,0.17233795,0.09468135,0.45427412,LS_DR10
6055,6.937700834829858,-5.83766400694038,PSF,0.09286706,0.17541912,0.18388149,0.0,LS_DR10
6043,6.937385212477968,-5.837152163400435,SER,3.5501385,11.084476,21.833853,1.4714229,LS_DR10
6003,6.936647934356313,-5.833247515986486,REX,0.09986752,0.162772,0.1736722,0.47973636,LS_DR10
6117,6.938896082816798,-5.833936232475416,REX,0.06352616,0.20539916,0.17061827,0.45243868,LS_DR10
6183,6.940236927009514,-5.838128952528282,REX,4.872673,17.73611,39.81361,1.2299361,LS_DR10
6267,6.942265129669536,-5.838998034208815,REX,0.07264613,0.25504503,0.5067251,0.23106785,LS_DR10
6247,6.941984527294284,-5.837800965326998,PSF,0.09544163,0.11541756,0.20617321,0.0,LS_DR10
6182,6.940218620933408,-5.83670656741688,PSF,0.0929348,0.08501049,0.17251287,0.0,LS_DR10
