FRB,status,source_flux,source_sigma,used_psf_convolution,q0,b_over_a,b_over_a_err,inclination_deg,inclination_err_deg,sma_rep_pix,ellipticity_rep,pa_deg,pa_err_deg,x0_pix,y0_pix,n_isophotes,isophote_index,half_light_flux_proxy,bkg_median,bkg_std,minsma,maxsma,step,fit_strategy_index
20211127I,ok,cropped_host_galaxies\20211127I_flux.fits,cropped_host_galaxies\20211127I_sigma.fits,False,0.2,0.7834055943612563,0.020738184156806595,39.37007265658076,1.979457369439082,19.0940449078315,0.2165944056387436,53.2182273559531,3.6096243940877137,57.15491274024693,51.18664553605198,33,23,1634243.159576416,411.3629150390625,359.98778349700234,2.0,45.9,0.1,0
20211203C,ok,cropped_host_galaxies\20211203C_flux.fits,cropped_host_galaxies\20211203C_sigma.fits,False,0.2,0.647952693649066,0.06186534632417855,51.02194911709885,4.911359045659829,4.75402071005033,0.3520473063509339,90.66028787989568,6.797563623373647,23.50712759875844,22.235366615558647,79,29,0.6928567097234009,0.0003371255879756063,0.004304931318512208,2.0,20.7,0.1,59
20211212A,ok,cropped_host_galaxies\20211212A_flux.fits,cropped_host_galaxies\20211212A_sigma.fits,False,0.2,0.746305465560211,0.011079199339211289,42.79121764061077,0.9901367258484761,12.920142770207084,0.25369453443978895,65.62698751135501,1.5988347973363004,33.43175060167043,32.106886870278615,28,19,101.21366271152783,0.0054943677969276905,0.008198860366986778,2.0,29.25,0.1,0
20220207C,ok,cropped_host_galaxies\20220207C_flux.fits,cropped_host_galaxies\20220207C_sigma.fits,False,0.2,0.29222778275457695,0.02140943912034597,77.44014076572991,1.7671728772424657,20.353047998086492,0.707772217245423,134.2861619158071,1.414170223647436,46.233846593052576,40.36438496702641,97,78,186719.83492708206,37.542484283447266,144.94225824539632,2.0,36.45,0.1,77
20220307B,ok,cropped_host_galaxies\20220307B_flux.fits,cropped_host_galaxies\20220307B_sigma.fits,False,0.2,0.6949024345846193,0.06173835159649736,47.21708866569038,5.161727266311537,6.7503237761633335,0.30509756541538074,162.36276776817041,7.0147536556701695,23.59472334448505,20.207736444036275,74,41,42767.8033407554,21.388202667236328,126.9459860797133,2.0,17.55,0.1,11
20220310F,ok,cropped_host_galaxies\20220310F_flux.fits,cropped_host_galaxies\20220310F_sigma.fits,False,0.2,0.8248667212991756,0.0336544601930695,35.2387408751554,3.531306844142229,6.296131311817031,0.17513327870082443,37.96425267147979,5.748114487052675,50.614109640651115,51.07700071821816,104,38,2.513612292996413,0.00013238945393823087,0.0030118042350269414,2.0,45.45,0.1,95
20220319D,ok,cropped_host_galaxies\20220319D_flux.fits,cropped_host_galaxies\20220319D_sigma.fits,False,0.2,0.8818479852331593,0.02658233773878437,28.76754241135097,3.336965657168289,17.715395812400022,0.11815201476684072,148.9991944658191,6.570715932656601,72.91658373981286,73.88472301566266,36,22,966474.0732875466,184.66180419921875,144.45701580123227,2.0,65.25,0.1,0
20220509G,ok,cropped_host_galaxies\20220509G_flux.fits,cropped_host_galaxies\20220509G_sigma.fits,False,0.2,0.5347173259550981,0.09688366050763428,59.59348766987208,7.135824125590098,12.215266885775256,0.46528267404490187,31.84703817390608,7.879386096497861,70.41036169632243,34.64717719505467,43,31,141.82910341303796,0.0029117653612047434,0.005371713293938665,2.0,31.05,0.1,1
20220825A,ok,cropped_host_galaxies\20220825A_flux.fits,cropped_host_galaxies\20220825A_sigma.fits,False,0.2,0.9324816340327973,0.12084394096573867,21.633366714959255,18.299361522509535,5.880759853611176,0.06751836596720268,90.0,60.840233187508076,39.96877070290809,38.05521357307017,98,36,35623.06037661061,10.682448387145996,136.77082260168626,2.0,36.45,0.1,468
20220912A,ok,cropped_host_galaxies\20220912A_flux.fits,cropped_host_galaxies\20220912A_sigma.fits,False,0.2,0.6300950360092625,0.04678886312348119,52.42261335033507,3.6479676464369852,6.8094170838885315,0.36990496399073747,124.3760316885362,4.515379210508149,23.666565019919204,19.75798073395511,39,21,58710.770884528756,8.361897468566895,154.88759764580664,2.0,18.45,0.1,1
20220914A,ok,cropped_host_galaxies\20220914A_flux.fits,cropped_host_galaxies\20220914A_sigma.fits,False,0.2,0.8184657607416908,0.010402034863859851,35.90217120632505,1.0701540229584836,5.7309125108227335,0.18153423925830925,34.64804118013902,1.890254599131156,19.009616668354386,18.46571558477453,23,11,5.7937485005641065,0.0032807860989123583,0.003853014567035026,2.0,16.650000000000002,0.1,0
20220920A,ok,cropped_host_galaxies\20220920A_flux.fits,cropped_host_galaxies\20220920A_sigma.fits,False,0.2,0.8982109265585585,0.011004329218282878,26.655746380754184,1.4733940979751345,7.796557121905681,0.10178907344144145,130.95460795896088,2.5562975286368292,35.654284532467045,34.92773853570565,29,14,28.602913385387183,0.0025482752826064825,0.004595421086120568,2.0,29.7,0.1,0
