frb_name,q_psf,inclination_angle_psf,n_psf,Re_psf,chi2_nu_psf,q_nopsf,inclination_angle_nopsf,n_nopsf,Re_nopsf,chi2_nu_nopsf,delta_q,delta_inclination_angle,delta_n,delta_Re,delta_chi2_nu
20211203C,0.4372963228661639,64.06849727209922,2.130179025016944,0.7351302128187891,0.0003604581741115,0.7130645746513627,44.51519224899051,0.9689844855596724,1.130893740135956,0.0003587321247204,-0.27576825178519887,19.553305023108713,1.1611945394572718,-0.3957635273171669,1.7260493911000051e-06
20211212A,0.8266791292063991,34.2408996910663,1.023940029405286,3.218936437777457,0.0035675829059937,0.8459332088549805,32.22794023890008,0.9193360070150636,3.34238614824434,0.0031845807087437,-0.01925407964858139,2.0129594521662213,0.10460402239022248,-0.12344971046688302,0.0003830021972500001
20220207C,0.224483079622153,77.02751674347755,0.5433431284297461,6.224184677395404,17336.81449726338,0.2633798148595885,74.72929666408865,0.5350606754525187,6.309295505942897,17333.063504540598,-0.038896735237435504,2.298220079388898,0.008282452977227406,-0.08511082854749308,3.750992722783849
20220307B,0.6361331466827412,50.49592140582726,0.5792171147389131,1.4149752731219671,63745.92140316703,0.7387779111752031,42.37258384977043,0.579494908414327,1.6693158905751653,63740.90430509672,-0.10264476449246185,8.123337556056832,-0.00027779367541391764,-0.25434061745319814,5.0170980703042005
20220310F,0.6729997063176842,47.700992105765096,1.950021618186904,1.2313583983222571,7.409694894171706e-05,0.8101132150289077,35.893005694571315,0.8145682442782544,1.537488702509338,7.409963525514701e-05,-0.1371135087112234,11.807986411193781,1.1354533739086494,-0.30613030418708087,-2.686313429946935e-09
20220319D,0.8332629124923487,33.56460831969208,7.9999998244106205,56.55648766871681,10983.763454205877,0.8682032915950266,29.749483045617268,3.9851012432224624,23.06847310515149,10975.980089843028,-0.03494037910267789,3.815125274074809,4.014898581188158,33.48801456356532,7.78336436284917
20220509G,0.4001248350275049,66.41401725045166,7.999955178692079,5.8408800155779135,0.014459194511504,0.6666116542852406,48.19391378592445,1.9583975895187788,3.074329461474984,0.0164729539730862,-0.2664868192577357,18.220103464527213,6.0415575891732995,2.7665505541029294,-0.0020137594615822
20220825A,0.6143430478282169,52.095799528349936,1.6040837148178584,1.8473730578503555,39387.703963405256,0.7266481038642991,43.39387613282327,0.7078687643667474,1.7880736188375392,39400.10388911798,-0.11230505603608221,8.701923395526663,0.896214950451111,0.05929943901281631,-12.399925712721597
20220912A,0.620031459698975,51.68156813610314,0.6517959485598708,1.228847187333462,155892.0888489262,0.7387145018585068,42.3779743157071,0.6548974620625347,1.4813943482591918,155508.4197806964,-0.11868304215953185,9.303593820396038,-0.003101513502663966,-0.2525471609257297,383.6690682298213
20220914A,0.4739777396662407,61.70718839104671,4.18848432323753,1.611634909196456,0.0006768011659994,0.7952307001564044,37.32294871300338,0.77649463560655,1.6990189622691532,0.0008398143893401,-0.3212529604901637,24.38423967804333,3.41198968763098,-0.08738405307269725,-0.00016301322334070004
20220920A,0.8589219552566679,30.804245274851155,1.2271012007402786,1.9224681720743897,0.0002512569390506,0.8993207432987024,25.931074879456187,0.7923896191695855,2.135098211763842,0.0002773980166512,-0.04039878804203445,4.873170395394968,0.4347115815706931,-0.2126300396894525,-2.614107760059997e-05
20221012A,0.5176188911101087,58.82733347479547,2.0870105514745068,1.4372520866416705,0.0001074393046911,0.715891999157171,44.283650502267264,0.7901840580228495,1.7499846610190513,0.0001155163373117,-0.19827310804706233,14.54368297252821,1.2968264934516571,-0.3127325743773808,-8.077032620599998e-06
