frb_name,q,b_a_psf,delta_q,inclination_angle,inc_psf,delta_inc_deg,n,n_psf,delta_n,Re,re_psf,delta_Re,chi2_nu,chi2nu_psf,delta_chi2nu
20180924B,0.6551203363846526,0.65,0.005120336384652591,49.07122487380214,50.859880152894384,-1.7886552790922465,5.47576741251372,1.0,4.47576741251372,0.9847351948622164,2.4,-1.4152648051377836,0.0002287925770783,0.862,-0.8617712074229217
20220914A,0.4739777396662407,0.49,-0.01602226033375931,61.70718839104671,62.83532000423217,-1.1281316131854666,4.18848432323753,1.0,3.18848432323753,1.611634909196456,3.92,-2.308365090803544,0.0006768011659994,0.901,-0.9003231988340006
20210320C,0.6771340949473509,0.7,-0.02286590505264907,47.37990499615114,46.79166084923599,0.5882441469151516,1.2017637747665844,1.0,0.20176377476658436,0.9584837290218772,3.61,-2.6515162709781226,0.0002821070092614,0.729,-0.7287178929907386
20220920A,0.8589219552566679,0.86,-0.0010780447433320628,30.804245274851155,31.387047821028517,-0.582802546177362,1.2271012007402786,1.0,0.22710120074027862,1.9224681720743897,6.87,-4.94753182792561,0.0002512569390506,1.085,-1.0847487430609493
20211212A,0.8266791292063991,0.83,-0.003320870793600883,34.2408996910663,34.69897927515612,-0.4580795840898162,1.023940029405286,1.0,0.023940029405286056,3.218936437777457,13.01,-9.791063562222543,0.0035675829059937,14.855,-14.851432417094006
20220307B,0.6361331466827412,0.65,-0.013866853317258787,50.49592140582726,50.859880152894384,-0.36395874706712306,0.5792171147389131,1.0,-0.42078288526108687,1.4149752731219671,6.3,-4.885024726878033,63745.92140316703,116517862.264,-116454116.34259683
20221012A,0.5176188911101087,0.55,-0.03238110888989132,58.82733347479547,58.472179090237866,0.3551543845576077,2.0870105514745068,1.0,1.0870105514745068,1.4372520866416705,4.98,-3.5427479133583297,0.0001074393046911,0.794,-0.7938925606953089
20220825A,0.6143430478282169,0.63,-0.01565695217178309,52.095799528349936,52.430007722821564,-0.3342081944716284,1.6040837148178584,1.0,0.6040837148178584,1.8473730578503555,5.89,-4.042626942149644,39387.703963405256,259015598.311,-258976210.6070366
20210807D,0.6835498226496056,0.7,-0.016450177350394335,46.878334624298645,46.79166084923599,0.08667377506265694,2.502991180318054,1.0,1.502991180318054,8.03073695424466,13.37,-5.33926304575534,45072.51877557063,217383562.096,-217338489.5772244
20220310F,0.6729997063176842,0.69,-0.017000293682315704,47.700992105765096,47.62375474517796,0.07723736058713371,1.950021618186904,1.0,0.9500216181869039,1.2313583983222571,4.3,-3.0686416016777427,7.409694894171706e-05,0.76,-0.7599259030510583
20220912A,0.620031459698975,0.64,-0.019968540301025017,51.68156813610314,51.64853587360453,0.033032262498608134,0.6517959485598708,1.0,-0.3482040514401292,1.228847187333462,5.42,-4.191152812666537,155892.0888489262,299588253.795,-299432361.70615107
