frb_name,fit_mode,n_fixed,q,inclination_angle,error_q,error_i,n,PA,Re,chi2,ndf,chi2_nu,fit_message,b_a_psf_num,inc_psf,n_psf,re_psf,chi2nu_psf,concentration,asymmetry,smoothness,gini,m20,delta_q,delta_inc_deg,abs_delta_inc_deg
20220825A,with_psf,1.0,0.6287044251442635,51.045398076448585,0.03,1.0059822955958124,1.0,0.7832223632796927,1.5637423405031163,258147209.9409115,6555,39381.72539144341,success,0.63,52.430007722821564,1.0,5.89,259015598.311,2.3278090167251726,-0.113697038214287,0.0569974945605258,0.4262290077405736,-1.1567089728769844,-0.0012955748557365032,-1.3846096463729793,1.3846096463729793
20171020A,with_psf,1.0,0.3639965304123828,68.65415948384405,0.03,1.0019933464559545,1.0,2.2473081356177413,15.506028157078322,204978265.9804603,21310,9618.876864404518,success,0.39,70.01845342807734,0.54,45.89,170368836.361,2.159032390140315,-0.0255988382646719,0.0018093921217779,0.4195508357792418,-1.2022451728338004,-0.026003469587617234,-1.3642939442332818,1.3642939442332818
20220920A,with_psf,1.0,0.8634745152192206,30.291031323387056,0.03,1.0113750074156884,1.0,0.8195464443584042,1.8436301501375008,1.1767311481310636,4350,0.0002705129076163,success,0.86,31.387047821028517,1.0,6.87,1.085,2.447707470146679,0.011898566403389,-0.0015881302143762,0.4664582994889464,-1.6951434765124882,0.0034745152192205975,-1.096016497641461,1.096016497641461
20211203C,with_psf,1.0,0.3937747697448868,66.81041852516637,0.03,1.0023340246901833,1.0,2.9604934736423845,0.7157913034860595,0.7603708667808866,2110,0.0003603653397065,success,0.42,67.85576776932919,1.0,2.76,0.764,2.7241089016334152,-0.1947695327571828,0.0,0.4681885111736827,-1.811439111928176,-0.026225230255113197,-1.0453492441628214,1.0453492441628214
20190714A,with_psf,1.0,0.3462534629021271,69.74166940964427,0.03,1.001803237707241,1.0,2.3255381208672543,1.0502664195605194,0.7154334362177407,1219,0.0005869019165034,success,0.38,70.74502320571644,1.0,4.15,0.717,2.286244967357668,0.0027634289804329,0.0,0.4232621352361957,-1.4910157114754288,-0.0337465370978729,-1.0033537960721617,1.0033537960721617
20220310F,with_psf,1.0,0.6817250439422374,47.0214084276468,0.03,1.0070449901569083,1.0,2.069855018823143,1.120913264463911,0.7577812040546656,10195,7.43287105497465e-05,success,0.69,47.62375474517796,1.0,4.3,0.76,2.493049737347885,-0.0388497153307,0.0337468922988819,0.4296306185790459,-1.657674943365005,-0.008274956057762517,-0.6023463175311647,0.6023463175311647
20211212A,with_psf,1.0,0.8265208403030746,34.257014561674936,0.03,1.0104072926036076,1.0,2.1815715631089114,3.2018406906021832,15.053993084970356,4219,0.0035681424709576,success,0.83,34.69897927515612,1.0,13.01,14.855,2.4660396163528944,0.1658803565101187,0.0035508481866772,0.4064454325252205,-1.6876446948242885,-0.00347915969692536,-0.44196471348118394,0.44196471348118394
20220912A,with_psf,1.0,0.6163602060483635,51.949178100232274,0.03,1.0057476751605932,1.0,0.6306931428089827,1.273742628777902,300554393.1639771,1921,156457.25828421503,success,0.64,51.64853587360453,1.0,5.42,299588253.795,2.2084909379562,-0.1471774699051292,0.0302254961237379,0.4446498801239087,-1.5797730411138065,-0.023639793951636512,0.300642226627744,0.300642226627744
20220307B,with_psf,1.0,0.6280343491153119,51.09475118913227,0.03,1.0059694361266625,1.0,1.4052851299900568,1.4756955558497626,117047741.52392957,1827,64065.5399693101,success,0.65,50.859880152894384,1.0,6.3,116517862.264,2.1822568028581864,-0.2013879967195185,-0.0127437024171253,0.3790256710575846,-1.4099972329847756,-0.02196565088468816,0.23487103623788386,0.23487103623788386
20180924B,with_psf,1.0,0.6343597838017635,50.62748301327372,0.03,1.0060913940249725,1.0,2.742105406612603,0.6367276329981704,0.9331599049547716,3243,0.000287745884969,success,0.65,50.859880152894384,1.0,2.4,0.862,2.8335230264785167,0.0059424563686762,0.0570518751147794,0.5305044686601453,-1.7226129194623574,-0.015640216198236523,-0.23239713962066588,0.23239713962066588
