FRB,status,q0,b_a_photutils,b_a_err_photutils,inc_photutils,inc_err_photutils,pa_photutils,pa_err_photutils,n_isophotes,sma_rep_pix,half_light_flux_proxy,fit_strategy_index,bkg_median,bkg_std,source_flux,source_sigma
20211212A,ok,0.2,0.7432675029809057,0.0217968939237921,43.06200953213276,1.9399106607110677,53.74411696912384,2.812263722834511,28,12.920142770207084,101.21366271152785,0,0.0054943677969276,0.0081988603669867,cropped_host_galaxies\20211212A_flux.fits,cropped_host_galaxies\20211212A_sigma.fits
20220207C,ok,0.2,0.2999306166094799,0.0151755831526448,76.81342663306421,1.2253437251119337,130.38692058470738,1.0012929716234642,50,19.74744768038221,186845.63962599635,1,37.54248428344727,144.94225824539632,cropped_host_galaxies\20220207C_flux.fits,cropped_host_galaxies\20220207C_sigma.fits
20220307B,ok,0.2,0.6764633516836838,0.0926380849650039,48.73463567100398,7.620819168814911,3.010409954033296,9.91682079441255,37,6.576845966927653,42966.524313353,1,21.388202667236328,126.9459860797133,cropped_host_galaxies\20220307B_flux.fits,cropped_host_galaxies\20220307B_sigma.fits
20220310F,ok,0.2,0.80139365094564,0.0283261360739154,37.62358984317888,2.80876480261923,20.670098435291933,4.602463531374405,105,6.676574564683909,2.6192839057214314,95,0.0001323894539382,0.0030118042350269,cropped_host_galaxies\20220310F_flux.fits,cropped_host_galaxies\20220310F_sigma.fits
20220319D,ok,0.2,0.8801118409151583,0.0789138615431209,28.98341577174029,10.417594558861884,-1095.8423031210348,20.14387846002438,31,18.145606692700444,971600.3925035298,2,184.66180419921875,144.45701580123227,cropped_host_galaxies\20220319D_flux.fits,cropped_host_galaxies\20220319D_sigma.fits
20220509G,ok,0.2,0.5347173259550981,0.0321378331300993,59.59348766987208,2.351458598965756,31.84703817390608,2.5846453126136804,46,12.215266885775256,141.82910341303796,1,0.0029117653612047,0.0053717132939386,cropped_host_galaxies\20220509G_flux.fits,cropped_host_galaxies\20220509G_sigma.fits
20220825A,ok,0.2,0.9989921174074372,0.0902061257441607,2.62572690762602,12.602770344998106,90.0,2567.0136588443656,98,5.880759853611176,35623.06037661061,468,10.682448387145996,136.77082260168626,cropped_host_galaxies\20220825A_flux.fits,cropped_host_galaxies\20220825A_sigma.fits
20220912A,ok,0.2,0.6588968139303166,0.0387280438919054,50.15181530075579,3.100749053521863,135.71250903392888,3.992609486773716,39,6.809417083888532,58710.77088452876,1,8.361897468566895,154.88759764580664,cropped_host_galaxies\20220912A_flux.fits,cropped_host_galaxies\20220912A_sigma.fits
20220914A,ok,0.2,0.8006026737822605,0.0079438030304002,37.70176700643293,0.7846135328119921,38.03548637844414,1.202165822604215,23,5.7309125108227335,5.7937485005641065,0,0.0032807860989123,0.003853014567035,cropped_host_galaxies\20220914A_flux.fits,cropped_host_galaxies\20220914A_sigma.fits
20220920A,ok,0.2,0.89733921890026,0.0083735712437571,26.77206434814468,1.1160177999075511,132.27222676880805,2.505814963602693,28,7.912264636287604,28.615530555470286,0,0.0025482752826064,0.0045954210861205,cropped_host_galaxies\20220920A_flux.fits,cropped_host_galaxies\20220920A_sigma.fits
20221012A,ok,0.2,0.6472192295908683,0.0098507266993639,51.07993445674825,0.7785698473792309,88.77002774627024,0.9890774678292276,31,7.879813240891134,13.21220075258691,0,0.0005631098756566,0.0030036757440653,cropped_host_galaxies\20221012A_flux.fits,cropped_host_galaxies\20221012A_sigma.fits
