DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r,b_a,b_a_err,q_lt_q0,inclination_deg_q0_0p2,tractor_objid,RA_ICRS,tractor_type,brick_primary,shape_e1,shape_e2,shape_e1_ivar,shape_e2_ivar,ellipticity_abs,flux_r_nmgy
43.8418938058381,19.2398568170511,1.345401,1.0,0.0,,20.210408463930907,19.2398568170511,,,,,1.0,1.0,,False,0.0,199,286.57296740405343,REX,1,0.0,0.0,0.0,0.0,0.0,20.139898
43.84476335865943,22.340238383681864,0.337453,1.0,0.0,,23.939413515417407,22.340238383681864,,,,,1.0,1.0,,False,0.0,157,286.56827539086447,REX,1,0.0,0.0,0.0,0.0,0.0,1.158523
43.84793581760874,18.653502587045402,1.068975,1.0,0.0,,19.38493206586797,18.653502587045402,,,,,1.0,1.0,,False,0.0,251,286.5795293429408,REX,1,0.0,0.0,0.0,0.0,0.0,34.562008
43.86168225047267,20.633902006829484,0.72473,1.0,0.0,,21.666695267807032,20.633902006829484,,,,,1.0,1.0,,False,0.0,419,286.6021585821144,REX,1,0.0,0.0,0.0,0.0,0.0,5.577495
43.85464687103726,21.551991969658022,0.708137,1.0,0.0,,22.88453466286825,21.551991969658022,,,,,1.0,1.0,,False,0.0,274,286.5816663923024,REX,1,0.0,0.0,0.0,0.0,0.0,2.394436
43.856742197086575,20.139814506975696,1.181939,1.0,0.4457592394413594,,21.61847197951093,20.139814506975696,,,,,0.5542407605586406,0.5542407605586406,0.04170963121887833,False,58.15952144582144,246,286.5786820802099,EXP,1,0.2295989990234375,-0.17187100648880005,920.37939453125,723.7678833007812,0.2868019233269498,8.791727
43.85607308136634,20.752644055120104,0.577524,1.0,0.0,,21.46925104904406,20.752644055120104,,,,,1.0,1.0,,False,0.0,229,286.57646795322677,REX,1,0.0,0.0,0.0,0.0,0.0,4.999682
43.870966534356974,22.46271519051959,0.326245,1.0,0.0,,23.840282506807654,22.46271519051959,,,,,1.0,1.0,,False,0.0,292,286.58420977675587,REX,1,0.0,0.0,0.0,0.0,0.0,1.034937
43.8782576188928,20.241574396040342,0.470181,1.0,0.0,,21.9556809860629,20.241574396040342,,,,,1.0,1.0,,False,0.0,4455,286.5996986619932,REX,1,0.0,0.0,0.0,0.0,0.0,8.005164
43.88596844788311,20.6247327082782,1.704838,1.0,0.5428474649978532,,21.626323366558154,20.6247327082782,,,,,0.45715253500214686,0.45715253500214686,0.044141295236773105,False,65.19326126909368,4478,286.60191105644833,EXP,1,0.20972700417041779,-0.30789700150489807,1315.3900146484375,459.11370849609375,0.3725399036532941,5.624798
43.889587988095556,20.86911384630615,0.86516,1.0,0.6427744585279146,,21.599125800902556,20.86911384630615,,,,,0.3572255414720854,0.3572255414720854,0.05366688460670047,False,72.41661044401356,4531,286.606735531133,EXP,1,-0.3389759957790375,0.33073699474334717,292.83251953125,296.34259033203125,0.47359443135055007,4.491118
43.89055644269647,20.9641149674362,1.299854,1.0,0.6425629793361968,,22.217143692672813,20.9641149674362,,,,,0.35743702066380323,0.35743702066380323,0.06306312242383362,False,72.40095517391504,4398,286.5955554314143,EXP,1,0.2986850142478943,-0.367235004901886,205.92086791992188,218.71640014648438,0.47336485564683933,4.11485
43.909876435544305,20.702680467916444,0.760918,1.0,0.0,,21.688784045068477,20.702680467916444,,,,,1.0,1.0,,False,0.0,4553,286.6083757824501,REX,1,0.0,0.0,0.0,0.0,0.0,5.235134
43.802885315561035,22.14544305172551,0.323599,1.0,0.0,,23.468633697260813,22.14544305172551,,,,,1.0,1.0,,False,0.0,3048,286.54110691718245,REX,1,0.0,0.0,0.0,0.0,0.0,1.38619
43.80239352199992,20.153257457071856,0.464465,1.0,0.0,,21.483097475609412,20.153257457071856,,,,,1.0,1.0,,False,0.0,3033,286.5400405946788,REX,1,0.0,0.0,0.0,0.0,0.0,8.683544
43.80090609995137,20.499672868644268,0.980183,4.0,0.48666840234675146,,22.281537743214507,20.499672868644268,,,,,0.5133315976532485,0.5133315976532485,0.08940985727234751,False,61.15010895998059,2966,286.53106754713065,DEV,1,0.028149999678134918,-0.3203530013561249,86.29966735839844,165.1719512939453,0.3215874188455704,6.311475
43.806655812608,18.53552960076513,3.074904,1.0,0.27291240857417254,,19.012271005143898,18.53552960076513,,,,,0.7270875914258275,0.7270875914258275,0.013620415068753354,False,44.4833332258765,2857,286.5171748277799,EXP,1,0.13791300356388092,0.07713600248098373,13941.7744140625,8283.02734375,0.15801885783271996,38.529037
43.811725075675156,22.12527105016074,0.35859,1.0,0.0,,23.051358743765444,22.12527105016074,,,,,1.0,1.0,,False,0.0,3012,286.5367481794389,REX,1,0.0,0.0,0.0,0.0,0.0,1.412185
43.81779622413086,22.704436470895303,0.360165,1.0,0.0,,23.676886223091508,22.704436470895303,,,,,1.0,1.0,,False,0.0,3000,286.5354778522153,REX,1,0.0,0.0,0.0,0.0,0.0,0.828372
43.8137245355651,23.58380610140671,0.452555,1.0,0.0,,23.275636006095915,23.58380610140671,,,,,1.0,1.0,,False,0.0,2928,286.5256151662596,REX,1,0.0,0.0,0.0,0.0,0.0,0.368534
43.805701670693374,20.918144876969556,0.877258,1.0,0.0,,22.849453034457248,20.918144876969556,,,,,1.0,1.0,,False,0.0,2819,286.51187068934036,REX,1,0.0,0.0,0.0,0.0,0.0,4.292814
43.80332851685905,20.32761094200017,0.548917,1.0,0.0,,21.281713101183275,20.32761094200017,,,,,1.0,1.0,,False,0.0,2744,286.50232563313585,REX,1,0.0,0.0,0.0,0.0,0.0,7.395297
43.802332584700366,21.577399329627408,0.555817,1.0,0.0,,23.367407959852343,21.577399329627408,,,,,1.0,1.0,,False,0.0,2718,286.4991889131685,REX,1,0.0,0.0,0.0,0.0,0.0,2.339054
43.82140036625291,22.164605896248688,0.305169,1.0,0.0,,23.3209803999937,22.164605896248688,,,,,1.0,1.0,,False,0.0,2724,286.49982357434135,REX,1,0.0,0.0,0.0,0.0,0.0,1.361939
43.823878187981116,22.781824858828813,0.510077,1.0,0.0,,23.491830484427943,22.781824858828813,,,,,1.0,1.0,,False,0.0,3122,286.55022247295545,REX,1,0.0,0.0,0.0,0.0,0.0,0.771383
43.82732724263837,21.206265652392823,1.094248,1.0,0.5193305989920869,,22.277453346379424,21.206265652392823,,,,,0.48066940100791317,0.48066940100791317,0.08319918823766281,False,63.506406198214435,3067,286.5443122635689,EXP,1,0.3074739873409271,-0.16875599324703217,191.08091735839844,133.14370727539062,0.3507404141927773,3.292257
43.82746202065731,20.25409917993344,1.085842,4.0,0.5319769358659943,,21.62901196379109,20.25409917993344,,,,,0.4680230641340057,0.4680230641340057,0.06230580545610508,False,64.41413842610146,3071,286.5451515680171,DEV,1,-0.3456859886646271,0.10870999842882156,314.38336181640625,200.5205841064453,0.36237641550939137,7.913349
43.829818366975964,22.6141669171055,0.508995,1.0,0.0,,23.423882001929414,22.6141669171055,,,,,1.0,1.0,,False,0.0,3036,286.5402793491791,REX,1,0.0,0.0,0.0,0.0,0.0,0.900188
43.828957283189276,20.93694812133995,0.84497,1.0,0.4360526270216325,,21.52854910460104,20.93694812133995,,,,,0.5639473729783675,0.5639473729783675,0.059663674592243685,False,57.44119467812465,2977,286.53260325522655,EXP,1,0.17829500138759613,-0.21435700356960297,410.227294921875,427.30767822265625,0.27881540936458604,4.219109
43.83364063179322,19.894341155229945,1.959415,1.0,0.3502876342361413,,20.67517431777889,19.894341155229945,,,,,0.6497123657638587,0.6497123657638587,0.02784561420271139,False,50.88266911953525,50,286.5541715618758,EXP,1,0.20800399780273438,-0.04265499860048294,2556.059326171875,932.0610961914062,0.2123325505134037,11.022079
43.83427475771404,20.90565514861497,0.397726,1.0,0.0,,22.353084876022947,20.90565514861497,,,,,1.0,1.0,,False,0.0,3107,286.5488382379253,REX,1,0.0,0.0,0.0,0.0,0.0,4.342481
43.83787893381559,22.00746819760597,1.367913,1.0,0.0,,22.57325083758711,22.00746819760597,,,,,1.0,1.0,,False,0.0,31,286.5520328054575,REX,1,0.0,0.0,0.0,0.0,0.0,1.574029
43.83812123358137,21.75727646880856,2.01263,1.0,0.0,,21.688027223874524,21.75727646880856,,,,,1.0,1.0,,False,0.0,3121,286.55012437718955,REX,1,0.0,0.0,0.0,0.0,0.0,1.981935
43.83900820180627,21.311972266144558,2.474514,1.0,0.0,,21.407698810460584,21.311972266144558,,,,,1.0,1.0,,False,0.0,3125,286.55075426463077,REX,1,0.0,0.0,0.0,0.0,0.0,2.986834
43.836015870864856,22.319915033433137,0.550354,1.0,0.0,,22.961997299528544,22.319915033433137,,,,,1.0,1.0,,False,0.0,3069,286.5448571077261,REX,1,0.0,0.0,0.0,0.0,0.0,1.180413
43.838730233245336,22.395350258270252,0.427273,1.0,0.0,,23.53619592362167,22.395350258270252,,,,,1.0,1.0,,False,0.0,3086,286.54666893445466,REX,1,0.0,0.0,0.0,0.0,0.0,1.101184
43.84248461979822,22.353958647404948,0.654218,1.0,0.0,,22.760809743516955,22.353958647404948,,,,,1.0,1.0,,False,0.0,3035,286.5401722736895,REX,1,0.0,0.0,0.0,0.0,0.0,1.143975
43.82044687282289,21.83809710142394,0.760347,1.0,0.0,,22.700153709579947,21.83809710142394,,,,,1.0,1.0,,False,0.0,2902,286.52226186102087,REX,1,0.0,0.0,0.0,0.0,0.0,1.83976
43.82699886749876,22.313100572731635,0.625353,1.0,0.0,,22.96449593854131,22.313100572731635,,,,,1.0,1.0,,False,0.0,2854,286.5168669903527,REX,1,0.0,0.0,0.0,0.0,0.0,1.187845
43.82653575292882,21.876967370944143,1.050652,1.0,0.0,,22.656051045376582,21.876967370944143,,,,,1.0,1.0,,False,0.0,2787,286.5076372760695,REX,1,0.0,0.0,0.0,0.0,0.0,1.77506
43.82427883183245,21.46724667026831,0.613889,1.0,0.0,,22.44133696200295,21.46724667026831,,,,,1.0,1.0,,False,0.0,2721,286.4993717983868,REX,1,0.0,0.0,0.0,0.0,0.0,2.588817
43.84058137335038,22.594765953896065,0.30871,1.0,0.0,,23.11276515831922,22.594765953896065,,,,,1.0,1.0,,False,0.0,2868,286.51842807644414,REX,1,0.0,0.0,0.0,0.0,0.0,0.916418
43.81048578228334,22.400435987097485,1.20962,1.0,0.0,,22.031699587032897,22.400435987097485,,,,,1.0,1.0,,False,0.0,2554,286.47974475557356,REX,1,0.0,0.0,0.0,0.0,0.0,1.096038
43.81260368543399,22.18068824366663,0.3225,1.0,0.0,,22.842576672607546,22.18068824366663,,,,,1.0,1.0,,False,0.0,2541,286.47862227859895,REX,1,0.0,0.0,0.0,0.0,0.0,1.341914
43.80343314910043,21.663582667838178,0.805306,1.0,0.0,,22.921075779198006,21.663582667838178,,,,,1.0,1.0,,False,0.0,2409,286.4634325694722,REX,1,0.0,0.0,0.0,0.0,0.0,2.160563
43.81315851317083,20.508327623111587,1.377829,1.0,0.0,,,20.508327623111587,,,,,1.0,1.0,,False,0.0,2516,286.47544340005925,REX,1,0.0,0.0,0.0,0.0,0.0,6.261364
43.81116194920533,21.69122825240409,0.855022,1.0,0.0,,22.92313229473737,21.69122825240409,,,,,1.0,1.0,,False,0.0,2468,286.47081680027543,REX,1,0.0,0.0,0.0,0.0,0.0,2.106244
43.81190521362689,21.142202154362995,0.832275,1.0,0.5941900907214748,,22.00912974140481,21.142202154362995,,,,,0.40580990927852517,0.40580990927852517,0.08126581822769945,False,68.87620869168198,2496,286.4732341722788,EXP,1,0.42266300320625305,0.0019389999797567725,147.85519409179688,89.25413513183594,0.42266745084078877,3.492361
43.81336680658868,16.093614795435666,2.27037,1.0,0.20641476120197244,,16.123896303429245,16.093614795435666,,,,,0.7935852387980276,0.7935852387980276,0.0034301007314141998,False,38.38963242506599,2499,286.47332927391835,EXP,1,0.05249499902129173,0.10241500288248062,148225.9375,251892.953125,0.11508500222732732,365.2196
43.807972218770146,21.112356131700217,1.946725,1.0,0.0,,22.087504615639684,21.112356131700217,,,,,1.0,1.0,,False,0.0,2427,286.4652586189385,REX,1,0.0,0.0,0.0,0.0,0.0,3.589695
43.814100507879104,21.53688630203982,0.435312,1.0,0.0,,23.30193689248862,21.53688630203982,,,,,1.0,1.0,,False,0.0,2459,286.4693118778232,REX,1,0.0,0.0,0.0,0.0,0.0,2.427982
43.811440456649656,21.623310253663213,0.376704,1.0,0.0,,22.124261237831092,21.623310253663213,,,,,1.0,1.0,,False,0.0,2644,286.490997001659,REX,1,0.0,0.0,0.0,0.0,0.0,2.242208
43.81397419912485,22.495199719993415,0.580216,1.0,0.0,,22.56725197060255,22.495199719993415,,,,,1.0,1.0,,False,0.0,2608,286.4866400448448,REX,1,0.0,0.0,0.0,0.0,0.0,1.004431
43.81488992263872,21.884718427929123,0.814617,1.0,0.0,,23.380596662925477,21.884718427929123,,,,,1.0,1.0,,False,0.0,2621,286.4879243334205,REX,1,0.0,0.0,0.0,0.0,0.0,1.762433
43.81465136714568,19.667478031246223,2.7248,1.0,0.7096828797740986,,20.474031359744075,19.667478031246223,,,,,0.29031712022590134,0.29031712022590134,0.014633811094618568,False,77.59755002415002,2497,286.47327656920356,EXP,1,0.5499290227890015,0.009235000237822533,3237.239990234375,1383.9180908203125,0.5500065593563941,13.583409
43.825609801819475,19.915648195472954,0.892682,4.0,0.23512130617136917,,21.66662221591118,19.915648195472954,,,,,0.7648786938286308,0.7648786938286308,0.07198948665991337,False,41.1062684375322,2585,286.48343590657737,DEV,1,-0.12767300009727478,0.03804999962449074,477.8603515625,379.90692138671875,0.1332223608305395,10.807885
