DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.255035,21.882,1.422,1.433,0.05,23.963,22.944,21.34,21.211,21.425,0.3763,2.62,0.95
1.228916,20.762,1.65,0.797,0.518,22.203,21.289,20.596,20.401,20.033,0.2932,1.61,0.482
1.246224,21.759,2.003,0.907,0.671,24.298,22.542,21.495,21.32,20.307,0.4038,2.8,0.32899999999999996
1.241248,19.173,2.598,0.957,0.703,23.364,20.438,19.122,18.587,18.255,0.2364,4.24,0.29700000000000004
1.231459,21.58,1.72,0.919,0.393,24.263,23.215,21.321,20.051,19.361,0.656,2.94,0.607
1.252903,20.805,1.928,0.921,0.725,26.669,22.263,20.837,20.344,19.779,0.3796,5.83,0.275
1.25385,20.475,2.631,1.314,0.447,22.767,21.553,20.383,19.805,19.453,0.4011,2.38,0.5529999999999999
1.263057,20.72,7.358,0.765,0.304,24.37,22.469,20.936,20.019,19.449,0.5297,3.43,0.696
1.250677,21.83,1.526,0.456,0.559,23.576,22.703,21.646,21.208,20.586,0.4655,1.93,0.44099999999999995
1.247574,20.462,3.242,1.155,0.6,22.412,21.552,20.457,19.864,19.545,0.4708,1.95,0.4
1.251556,19.609,3.458,2.089,0.73,26.517,21.071,19.442,18.662,18.321,0.4394,7.07,0.27
1.247651,21.828,2.117,0.398,0.785,24.511,22.696,21.683,20.98,20.526,0.5358,2.83,0.21499999999999997
1.24849,21.516,2.212,1.882,0.586,25.243,22.793,21.445,20.801,21.371,0.3715,3.8,0.41400000000000003
1.254222,21.605,1.4,0.311,0.45,25.613,22.078,21.579,21.406,21.007,0.2168,4.03,0.55
1.26524,21.172,2.142,0.945,0.555,24.273,22.379,21.065,19.977,19.685,0.584,3.21,0.44499999999999995
1.240041,21.116,2.372,1.662,0.382,21.936,21.995,20.992,21.176,20.836,0.3705,0.94,0.618
1.277993,20.105,1.872,0.907,0.232,25.704,21.732,20.018,19.581,19.215,0.3382,5.69,0.768
1.271593,21.336,1.871,0.818,0.799,22.076,22.015,21.118,20.636,20.162,0.4841,0.96,0.20099999999999996
1.266178,19.826,2.256,1.153,0.783,21.889,20.793,19.795,19.404,19.053,0.3253,2.09,0.21699999999999997
1.277352,20.411,3.118,4.106,0.6,22.199,20.612,19.923,19.743,21.024,0.1314,2.28,0.4
1.265552,20.837,2.373,1.563,0.218,22.763,21.449,20.667,20.356,20.43,0.247,2.1,0.782
1.272382,21.62,2.969,0.877,0.369,24.435,22.745,21.782,21.326,20.828,0.4396,2.65,0.631
1.267397,21.911,1.69,0.878,0.05,25.707,22.649,21.684,21.105,20.87,0.4256,4.02,0.95
