cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.545,0.5798765248543291,0.5973706515330188,0.5728046594982079,0.4486847385895144
0.55,0.5867158018450472,0.6040776090801887,0.5793430779569892,0.4557262213141669
0.555,0.5933178989401244,0.6105358195754716,0.5859655017921147,0.4628771571381663
0.56,0.5994527162408049,0.6165057488207547,0.5919438844086021,0.47010106169506366
0.5650000000000001,0.6056052335336972,0.6224019752358491,0.5975722446236559,0.477434419351308
0.5700000000000001,0.610745311272063,0.6273584905660378,0.6029065860215054,0.4842569958772666
0.5750000000000001,0.6151065893531007,0.6316977446933962,0.607764896953405,0.489875588310409
0.58,0.6262292644591236,0.6445588885613207,0.6224238351254481,0.5009668357108978
0.585,0.6325694016694633,0.650657797759434,0.6288362455197133,0.5081542559013462
0.59,0.6392493787302733,0.6571252211084906,0.635430667562724,0.5157065197562845
0.595,0.6460638757318947,0.6637492629716981,0.6421230958781362,0.5231493305118756
0.6,0.652949172702364,0.6703548791273585,0.6486615143369175,0.5303002663358751
0.605,0.6594202898550725,0.6767578125,0.6551999327956989,0.5380349520230581
0.61,0.6656471471152553,0.6826632517688679,0.6611363127240143,0.546097997008282
0.615,0.6719731243318253,0.6887253095518868,0.6673807123655914,0.5541610419935058
0.62,0.6775557018754912,0.6940871904481132,0.67256104390681,0.560107993724689
0.625,0.6824904597041977,0.6989423643867925,0.677755376344086,0.5659090079900763
0.63,0.6864163179768201,0.7030512971698113,0.6822496639784946,0.5704330694297494
0.635,0.6975354530844007,0.7155255011792453,0.6970486111111112,0.583457988252034
0.64,0.7033799905128042,0.7213388119103774,0.703363015232975,0.5919588456346455
0.645,0.7099573076187846,0.7275667010613207,0.709691420250896,0.6003137655514612
0.65,0.7166231246858251,0.7340156987028302,0.7160198252688172,0.6076106388412565
0.655,0.7231402618182848,0.7401883107311321,0.7221522177419355,0.6150534495968477
0.66,0.7293140191018316,0.7461766656839622,0.7282986111111112,0.622532744718888
0.665,0.7355479563588992,0.7520636792452831,0.7343609991039427,0.6313984457659892
0.67,0.7413641737997635,0.7573887087264151,0.739975358422939,0.6384764128570908
0.675,0.7464617715568205,0.7620135613207547,0.744889672939068,0.6454449268488452
0.68,0.7511876694774254,0.7665647110849056,0.7498739919354839,0.6520121128096611
0.685,0.7598111056831135,0.7760631633254716,0.7610467069892473,0.6623736728811704
0.6900000000000001,0.7645051436177368,0.7809275501179245,0.7666750672043011,0.6696705461709658
0.6950000000000001,0.7696983213327386,0.7856813826650944,0.7716033826164874,0.6764566383304754
0.7000000000000001,0.7756490587144141,0.7908405807783019,0.7767417114695341,0.6833886679557809
0.705,0.7816847560587074,0.7964696344339622,0.7823560707885304,0.691123353642964
0.71,0.7874655735151477,0.8018130896226415,0.7878724238351255,0.698785070597249
0.715,0.793210990987164,0.8072118219339622,0.7933467741935484,0.7061549126199423
