source_file,row_id,column,value
nonparam_parametric_outliers.csv,12,outlier_score_astrophot,0.611481097731793
nonparam_parametric_outliers.csv,13,frb_name,20220912A
nonparam_parametric_outliers.csv,13,concentration,2.2084909379562
nonparam_parametric_outliers.csv,13,gini,0.4446498801239087
nonparam_parametric_outliers.csv,13,m20,-1.5797730411138065
nonparam_parametric_outliers.csv,13,n_psf,1.0
nonparam_parametric_outliers.csv,13,n,0.6548974620625347
nonparam_parametric_outliers.csv,13,outlier_score_galfit,1.6515312543828422
nonparam_parametric_outliers.csv,13,outlier_score_astrophot,0.8238764767312762
nonparam_parametric_outliers.csv,14,frb_name,20220914A
nonparam_parametric_outliers.csv,14,concentration,2.285884550471595
nonparam_parametric_outliers.csv,14,gini,0.4292968389982881
nonparam_parametric_outliers.csv,14,m20,-1.61273707879112
nonparam_parametric_outliers.csv,14,n_psf,1.0
nonparam_parametric_outliers.csv,14,n,0.77649463560655
nonparam_parametric_outliers.csv,14,outlier_score_galfit,1.6387590156330472
nonparam_parametric_outliers.csv,14,outlier_score_astrophot,0.7583001526571251
nonparam_parametric_outliers.csv,15,frb_name,20211212A
nonparam_parametric_outliers.csv,15,concentration,2.4660396163528944
nonparam_parametric_outliers.csv,15,gini,0.4064454325252205
nonparam_parametric_outliers.csv,15,m20,-1.6876446948242885
nonparam_parametric_outliers.csv,15,n_psf,1.0
nonparam_parametric_outliers.csv,15,n,0.9193360070150636
nonparam_parametric_outliers.csv,15,outlier_score_galfit,1.5397222782822104
nonparam_parametric_outliers.csv,15,outlier_score_astrophot,1.37503270720442
nonparam_parametric_outliers.csv,16,frb_name,20210410D
nonparam_parametric_outliers.csv,16,concentration,2.3054969874714133
nonparam_parametric_outliers.csv,16,gini,0.4729460439057895
nonparam_parametric_outliers.csv,16,m20,-1.5974215869745685
nonparam_parametric_outliers.csv,16,n_psf,1.0
nonparam_parametric_outliers.csv,16,n,0.9093725529019764
nonparam_parametric_outliers.csv,16,outlier_score_galfit,0.9694155588810182
nonparam_parametric_outliers.csv,16,outlier_score_astrophot,0.8430879651038972
nonparam_parametric_outliers.csv,17,frb_name,20210320C
nonparam_parametric_outliers.csv,17,concentration,2.439416514465888
nonparam_parametric_outliers.csv,17,gini,0.4411343068116614
nonparam_parametric_outliers.csv,17,m20,-1.6934746409174624
nonparam_parametric_outliers.csv,17,n_psf,1.0
