objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651753460236828,149.797186857261,1.80753222833362,21.44656,22.0548,22.1271,0.7010704,0.7328302,-0.08522796,-0.1482048,3,1,1,0.6082399999999986,0.680539999999997
1237651753460236819,149.797693669175,1.69843406576299,21.06529,24.24331,22.32044,0.8498325,0.414238,-0.01312686,-0.02840465,3,1,1,3.17802,1.2551500000000004
1237651753460236818,149.798287603619,1.63810917303819,21.53791,22.36132,22.47255,0.9141517,0.5883062,-0.115859,-0.2619998,3,1,1,0.8234099999999991,0.9346399999999981
1237651753460236759,149.777173358658,1.8145225011816,21.83681,23.2839,22.72587,0.2469595,1.089983,-0.00737073,-0.01000342,3,1,1,1.4470899999999993,0.8890600000000006
1237651753460236741,149.774561931283,1.76955099098821,22.19586,23.18001,22.56911,0.4421497,0.5506147,-0.06524077,-0.08459433,3,1,1,0.9841499999999996,0.37324999999999875
1237651753460171515,149.685473010703,1.8251278929057,21.69183,23.70364,22.84196,0.799933,0.784655,-0.05659924,-0.05867767,3,1,1,2.0118100000000005,1.1501300000000008
1237651753460171512,149.686930418029,1.70629514450002,21.27177,23.04028,22.77233,0.5249485,1.443129,-0.1410431,-0.1551066,3,1,1,1.7685099999999991,1.5005600000000001
1237651753460171492,149.661279143666,1.7587413483999,21.72054,22.92514,23.23347,0.4893863,0.7329046,-0.02931529,-0.06305765,3,1,1,1.2045999999999992,1.5129300000000008
1237651753460171478,149.639490789055,1.70451490794623,21.26507,24.10122,22.89044,0.3568905,1.218524,-0.2471526,-0.4849975,3,1,1,2.83615,1.6253700000000002
1237651753460171369,149.710713865596,1.77695994533333,20.69012,22.05615,21.18602,0.5229976,0.8189248,-2.944481,-4.905861,3,1,1,1.3660299999999985,0.4958999999999989
1237651753460171367,149.708852133773,1.82940078671041,21.33942,22.10932,21.77408,0.2999184,1.179753,-0.03294536,-0.0508126,3,1,1,0.7698999999999998,0.43466000000000093
1237651753460171362,149.708885353337,1.68785789573517,19.47531,22.33941,21.09897,0.6132482,0.9814403,-1.186312,-1.410861,3,1,1,2.8641000000000005,1.623660000000001
1237651753460171321,149.687857384938,1.64307519509827,20.93063,22.1997,21.67757,0.6077262,0.6942916,-0.1055484,-0.316657,3,1,1,1.2690699999999993,0.7469399999999986
1237651753460171261,149.661193628584,1.79855633587841,21.74077,23.408,23.18266,0.4238509,1.174657,-0.0128518,-0.01653805,3,1,1,1.66723,1.4418899999999972
1237651753460171211,149.640029339589,1.77794927294792,19.25871,21.53876,20.11805,0.2939244,1.969314,-0.2904413,-2.831825,3,1,1,2.2800499999999992,0.8593399999999995
1237651753460171175,149.620185959389,1.66475030999762,20.53183,22.38619,21.82355,0.6349013,0.999849,-0.09641743,-0.4075375,3,1,1,1.8543599999999998,1.2917200000000015
1237651753460171170,149.61900739574,1.65062032845795,20.90982,23.43745,21.47211,0.3222346,2.199238,-0.05332451,-0.1462961,3,1,1,2.5276299999999985,0.5622900000000008
1237651753460171121,149.601258807342,1.62254716166284,20.84308,22.0695,21.07913,0.7296364,0.7836237,-0.0009164981,-0.01994162,3,1,1,1.226420000000001,0.23604999999999876
1237651753460171041,149.708685996275,1.77175863259738,19.13275,20.71701,19.61472,0.2808356,2.093286,-0.1652595,-8.821958,3,1,1,1.584259999999997,0.4819699999999969
1237651753460171036,149.685461447305,1.81280433563792,21.05494,21.44046,21.49502,0.2322243,0.5954878,-0.1429428,-0.2162311,3,1,1,0.3855200000000032,0.4400800000000018
1237651753460171006,149.620563190009,1.69371958902199,17.09876,23.38672,17.86155,0.3499934,19.52643,-61.37292,-314.7195,3,1,1,6.287960000000002,0.7627900000000025
1237651753460170797,149.638987581542,1.75079873616279,20.83129,22.76842,22.30847,0.8290366,0.6774443,-0.0001397227,-0.00157705,3,1,1,1.9371299999999998,1.4771800000000006
1237651753460367798,150.066145178604,1.69117943838053,20.85418,24.07469,22.09342,0.7666609,0.2497149,-0.01174136,-0.01668623,3,1,1,3.220510000000001,1.2392399999999988
1237651753460367796,150.065744292539,1.70950300920484,21.08148,22.59032,21.96872,0.7845741,0.6616377,-0.1749745,-0.1958108,3,1,1,1.5088399999999993,0.887240000000002
1237651753460367753,150.042328496791,1.80703259686477,21.36123,23.62376,22.41269,0.5607598,0.7328592,-1.235082,-2.36483,3,1,1,2.2625300000000017,1.0514600000000023
1237651753460367748,150.043833308833,1.73183217228823,20.90128,22.48365,21.94057,0.5798188,1.202515,-0.2160024,-0.4141914,3,1,1,1.582370000000001,1.0392900000000012
1237651753460367471,150.159352391322,1.79173215773419,12.67501,14.58815,13.08316,0.4524741,0.7329011,-5244.852,-11150.76,3,1,1,1.9131400000000003,0.4081499999999991
