objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237653664721732144,149.435195756553,1.93767036262951,22.03207,25.67765,22.73603,0.08109973,0.465423,-0.2713656,-0.2553357,3,1,1,3.645579999999999,0.7039599999999986
1237653664721732255,149.476860735385,1.82688891618329,21.32572,22.51588,21.91431,0.8324373,0.5816403,-0.01949054,-0.02415028,3,1,1,1.1901599999999988,0.58859
1237653664721732256,149.478755621187,1.82695680958738,22.04721,24.25688,24.59678,0.05005846,0.5264744,-0.6768309,-0.6845941,3,1,1,2.209669999999999,2.5495699999999992
1237653664721797259,149.535077377498,1.98370108309236,18.65679,21.29532,19.59674,0.5597814,0.8526193,-9.896354,-3.661381,3,1,1,2.6385299999999994,0.9399499999999996
1237653664721797281,149.567088604025,1.89121697422015,21.70712,24.28197,22.80271,0.06594466,0.4606342,-0.1187579,-0.04987265,3,1,1,2.5748500000000014,1.0955900000000014
1237653665259062092,150.497497986501,2.45726543814663,22.55003,23.00837,22.70005,0.126775,0.2844791,-0.03371839,-0.03269739,3,1,1,0.45833999999999975,0.15002000000000137
1237653664721797343,149.568873931563,1.95248828344468,21.5182,24.83438,24.41538,0.05,0.4029152,-0.06904557,-0.03877791,3,1,1,3.3161799999999992,2.8971799999999988
1237653664721797412,149.56913350712,2.00626107438846,18.78889,20.81882,19.56202,0.2101683,3.756583,-6.083494,-41.71125,3,1,1,2.0299300000000002,0.7731300000000019
1237653665259062135,150.513583772172,2.46123231317724,20.87741,22.76425,22.48912,0.778243,0.3994475,-0.4971434,-0.4552564,3,1,1,1.8868399999999994,1.6117099999999986
1237653664721797445,149.621649096373,1.99649780207363,21.17027,21.63457,21.65369,0.4128068,0.9997713,-1.981338,-1.916672,3,1,1,0.4643000000000015,0.4834200000000024
1237653665259062211,150.540039024446,2.35549762848467,21.04265,23.21885,22.12473,0.3614715,1.008298,-0.03588209,-0.0609851,3,1,1,2.1762000000000015,1.0820800000000013
