SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
488.0,150.7343445,1.789422,21.0580101,0.933257,0.5755,0.066743,2.0,0.0
493.0,150.7255402,1.750339,22.0239182,0.9991376,0.3765,0.0008624,2.0,0.0
499.0,150.7236023,1.762587,21.7586861,1.0,0.1675,0.0,2.0,0.0
501.0,150.727356,1.787359,22.0792141,0.22967000000000004,0.4665,0.77033,2.0,0.0
506.0,150.7265778,1.7957669,22.0470448,0.3328,0.2835,0.6672,2.0,0.0
507.0,150.7264862,1.797693,22.3564529,0.37917999999999996,0.2155,0.62082,2.0,0.0
508.0,150.7185059,1.753903,21.0859432,0.60382,0.735,0.39618,2.0,0.0
510.0,150.7180481,1.755543,22.3636513,0.54418,0.4255,0.45582,3.0,0.0
512.0,150.7218933,1.7784359,21.7648125,0.3347,0.635,0.6653,2.0,0.0
514.0,150.7250824,1.798366,21.3815861,0.7078800000000001,0.2235,0.29212,2.0,0.0
516.0,150.7168274,1.755494,22.2118092,0.48807999999999996,0.257,0.51192,3.0,0.0
518.0,150.7142792,1.75447,21.4983273,0.63887,0.5565,0.36113,2.0,0.0
536.0,150.7645264,1.733953,20.575407,0.32175,0.7535,0.67825,2.0,0.0
540.0,150.7617798,1.726932,21.014698,0.55078,0.397,0.44922,-999999.0,0.0
544.0,150.7633057,1.7411799,21.531477,0.70574,0.4,0.29426,2.0,0.0
545.0,150.7540741,1.693414,20.3886356,0.28473000000000004,0.6925,0.71527,3.0,0.0
551.0,150.7560425,1.727671,21.1326771,0.31501999999999997,0.4815,0.68498,2.0,0.0
553.0,150.7574768,1.73781,21.9622459,0.69216,0.4265,0.30784,2.0,0.0
557.0,150.753952,1.725679,22.2339745,0.7472799999999999,0.645,0.25272,2.0,0.0
571.0,150.7529907,1.742473,20.8468609,0.8063400000000001,0.4175,0.19366,2.0,0.0
573.0,150.7442322,1.700262,21.5185566,0.64976,0.2425,0.35024,2.0,0.0
590.0,150.7380524,1.705483,21.6519356,0.45376000000000005,0.878,0.54624,2.0,0.0
591.0,150.7395325,1.716091,22.360651,0.84165,0.4175,0.15835,2.0,0.0
593.0,150.740509,1.726514,22.3808327,0.52163,0.268,0.47837,2.0,0.0
595.0,150.7370453,1.718066,21.362093,0.57463,0.666,0.42537,2.0,0.0
616.0,150.7328796,1.734742,22.483942,0.53792,0.6,0.46208,2.0,0.0
618.0,150.7310944,1.7272069,22.3789463,0.5559000000000001,0.5275,0.4441,2.0,0.0
