FRB,status,sma_rep_pix,b_over_a,pa
MOCK_0000,ok,6.666666666666666,0.964533896044554,2.9872526038970997
MOCK_0001,ok,6.666666666666666,0.9593813384599742,2.5562806154140953
MOCK_0002,ok,4.444444444444444,0.9928071161750075,0.5234792161559176
MOCK_0003,ok,4.444444444444444,0.9654211001480953,0.867091903426211
MOCK_0004,failed,,,
MOCK_0005,ok,4.444444444444444,0.9798909068041294,0.6044265347097807
MOCK_0006,ok,4.444444444444444,0.9833795821268785,1.1679025209476546
MOCK_0007,ok,4.444444444444444,0.9748108353829569,0.3215168114314686
MOCK_0008,ok,4.444444444444444,0.9651290320082097,0.7139392048877335
MOCK_0009,failed,,,
MOCK_0010,ok,4.444444444444444,0.952372150541934,0.47519343933916264
MOCK_0011,ok,4.444444444444444,0.9494634202803064,0.7453540455385683
MOCK_0012,ok,4.444444444444444,0.9471177820811493,0.8310930055033949
MOCK_0013,ok,4.444444444444444,0.9653066302507134,0.6143968161479876
MOCK_0014,failed,,,
MOCK_0015,ok,4.444444444444444,0.866853133269381,0.7342950338564178
MOCK_0016,ok,4.444444444444444,0.8777934306078046,0.7380999603996823
