q_min,hubble_q0,line_label,pool_n,mag_lo,mag_hi,n,median_cosi,mean_cosi,frac_pool
0.1,0.1,q_min=q₀=0.1,498110,18.5,19.0,7670.0,0.6311883319478029,0.6065823487862976,0.015398205215715404
0.1,0.1,q_min=q₀=0.1,498110,19.0,19.5,14430.0,0.622935273954986,0.6021030102514571,0.028969504727871354
0.1,0.1,q_min=q₀=0.1,498110,19.5,20.0,25441.0,0.6185562126438005,0.5978541546944026,0.05107506374094076
0.1,0.1,q_min=q₀=0.1,498110,20.0,20.5,42463.0,0.5949308701849232,0.5777381170911199,0.0852482383409287
0.1,0.1,q_min=q₀=0.1,498110,20.5,21.0,65879.0,0.5589127061241588,0.5483836085576286,0.13225793499427838
0.1,0.1,q_min=q₀=0.1,498110,21.0,21.5,93238.0,0.5018307936252066,0.5033536730960732,0.18718355383349058
0.1,0.1,q_min=q₀=0.1,498110,21.5,22.0,110381.0,0.44085289296843266,0.449656303710016,0.2215996466643914
0.1,0.1,q_min=q₀=0.1,498110,22.0,22.5,88997.0,0.357054913620037,0.38785261412383537,0.17866937021942944
0.1,0.1,q_min=q₀=0.1,498110,22.5,23.0,35439.0,0.2298081929445607,0.2976211290465481,0.071146935415872
0.1,0.1,q_min=q₀=0.1,498110,23.0,23.5,3701.0,0.17391528058285197,0.250359621196822,0.0074300857240368594
0.1,0.1,q_min=q₀=0.1,498110,23.5,24.0,193.0,0.2825023470880598,0.3799712668771088,0.0003874646162494228
0.1,0.1,q_min=q₀=0.1,498110,24.0,24.5,71.0,0.5931556217618074,0.5038513384940868,0.00014253879665134209
0.1,0.1,q_min=q₀=0.1,498110,24.5,25.0,34.0,0.18618413059245145,0.31386694694838974,6.825801529782579e-05
0.1,0.1,q_min=q₀=0.1,498110,25.0,25.5,59.0,0.3842930049061628,0.5161666849190748,0.00011844773242858004
0.1,0.1,q_min=q₀=0.1,498110,25.5,26.0,51.0,0.9916764183885178,0.7663187259526728,0.00010238702294673867
0.1,0.1,q_min=q₀=0.1,498110,26.0,26.5,30.0,0.9933431024846708,0.7342811917691304,6.0227660556905105e-05
0.15,0.15,q_min=q₀=0.15,462993,15.0,15.5,194.0,0.46133465468032875,0.4892458626668909,0.0004190128144485986
0.15,0.15,q_min=q₀=0.15,462993,15.5,16.0,177.0,0.6389649323055814,0.590088281854825,0.0003822951966876389
0.15,0.15,q_min=q₀=0.15,462993,16.0,16.5,355.0,0.5801469808311764,0.558697245170101,0.0007667502532435695
0.15,0.15,q_min=q₀=0.15,462993,16.5,17.0,749.0,0.5872262816357371,0.5665985332060398,0.0016177350413505171
0.15,0.15,q_min=q₀=0.15,462993,17.0,17.5,1442.0,0.5561983791598265,0.5550592747552104,0.0031145179300766965
0.15,0.15,q_min=q₀=0.15,462993,17.5,18.0,2656.0,0.5604654455800271,0.5547612531191033,0.005736587810182875
0.15,0.15,q_min=q₀=0.15,462993,18.0,18.5,4280.0,0.6127849668766643,0.5860955538963937,0.00924420023628867
0.15,0.15,q_min=q₀=0.15,462993,18.5,19.0,7603.0,0.6273856621132807,0.6020043108570426,0.01642141457862214
0.15,0.15,q_min=q₀=0.15,462993,19.0,19.5,14313.0,0.6190556053241362,0.5969141343187798,0.03091407429485975
0.15,0.15,q_min=q₀=0.15,462993,19.5,20.0,25195.0,0.6154736197712809,0.5933915969979572,0.05441766938161052
0.15,0.15,q_min=q₀=0.15,462993,20.0,20.5,41852.0,0.5932839733557458,0.5748732372744201,0.09039445520774612
0.15,0.15,q_min=q₀=0.15,462993,20.5,21.0,64591.0,0.5574504975955848,0.546495448964921,0.1395075087528321
0.15,0.15,q_min=q₀=0.15,462993,21.0,21.5,90256.0,0.5024870243446597,0.5043317240245343,0.19494031227253975
0.15,0.15,q_min=q₀=0.15,462993,21.5,22.0,103564.0,0.44338897875101346,0.4587812290732361,0.2236837273997663
0.15,0.15,q_min=q₀=0.15,462993,22.0,22.5,77508.0,0.38577078638313456,0.41554074989138917,0.1674064186715566
0.15,0.15,q_min=q₀=0.15,462993,22.5,23.0,25447.0,0.31861264789668037,0.36127254403746295,0.05496195406842004
0.15,0.15,q_min=q₀=0.15,462993,23.0,23.5,2442.0,0.26055657089082146,0.3136102202287509,0.005274377798368442
0.15,0.15,q_min=q₀=0.15,462993,23.5,24.0,148.0,0.3614781317818948,0.45493328367364894,0.0003196592605071783
0.15,0.15,q_min=q₀=0.15,462993,24.0,24.5,61.0,0.6839050203339755,0.5633650971642463,0.00013175145196579646
0.15,0.15,q_min=q₀=0.15,462993,25.0,25.5,46.0,0.6507282484493726,0.6309552266469126,9.935355394142028e-05
0.15,0.15,q_min=q₀=0.15,462993,25.5,26.0,46.0,0.9937671811342376,0.8372119734818488,9.935355394142028e-05
0.2,0.2,q_min=q₀=0.2,434962,15.0,15.5,177.0,0.533722460718203,0.5069297517640912,0.0004069320998156161
0.2,0.2,q_min=q₀=0.2,434962,15.5,16.0,165.0,0.6609214844790566,0.613178018859586,0.0003793434828789641
0.2,0.2,q_min=q₀=0.2,434962,16.0,16.5,338.0,0.5914315441018452,0.5678567756990407,0.0007770793770490295
0.2,0.2,q_min=q₀=0.2,434962,16.5,17.0,721.0,0.5932887742114923,0.5704532950434492,0.001657616067610504
0.2,0.2,q_min=q₀=0.2,434962,17.0,17.5,1388.0,0.556825934493822,0.5570348310179681,0.003191083359006074
0.2,0.2,q_min=q₀=0.2,434962,17.5,18.0,2574.0,0.5595330269987491,0.5534609339156181,0.005917758332911841
0.2,0.2,q_min=q₀=0.2,434962,18.0,18.5,4137.0,0.615610869230591,0.588717269471562,0.009511175688910755
0.2,0.2,q_min=q₀=0.2,434962,18.5,19.0,7451.0,0.6260065605572174,0.5989514092955985,0.017130232066249466
0.2,0.2,q_min=q₀=0.2,434962,19.0,19.5,14014.0,0.6185046480234577,0.5943775093083512,0.03221890647918669
0.2,0.2,q_min=q₀=0.2,434962,19.5,20.0,24714.0,0.6127293508006121,0.5895983014844968,0.05681875658103466
0.2,0.2,q_min=q₀=0.2,434962,20.0,20.5,40823.0,0.5916849700608653,0.5727327734816415,0.09385417576707851
0.2,0.2,q_min=q₀=0.2,434962,20.5,21.0,62642.0,0.5571777447800472,0.544961463876771,0.14401717851214588
0.2,0.2,q_min=q₀=0.2,434962,21.0,21.5,86360.0,0.5040100420027148,0.5051905455491527,0.19854607988743844
0.2,0.2,q_min=q₀=0.2,434962,21.5,22.0,97030.0,0.45004310514947377,0.46285564919102606,0.22307695844694478
0.2,0.2,q_min=q₀=0.2,434962,22.0,22.5,69564.0,0.4103485343225134,0.4291388662512468,0.15993121238177127
0.2,0.2,q_min=q₀=0.2,434962,22.5,23.0,20694.0,0.35353459321306613,0.39677745312261004,0.04757656990725627
0.2,0.2,q_min=q₀=0.2,434962,23.0,23.5,1833.0,0.29365341195164707,0.35709852541572523,0.004214161237073583
0.2,0.2,q_min=q₀=0.2,434962,23.5,24.0,129.0,0.468527550410859,0.483185044032218,0.0002965776320690083
0.2,0.2,q_min=q₀=0.2,434962,24.0,24.5,56.0,0.7109784619061337,0.5857919535758477,0.00012874687903770905
0.2,0.2,q_min=q₀=0.2,434962,25.0,25.5,43.0,0.7437410755621711,0.6498898376987287,9.885921068966944e-05
0.2,0.2,q_min=q₀=0.2,434962,25.5,26.0,46.0,0.9936531986792465,0.829606598957611,0.00010575636492383243
