objid,ra,dec,modelmag_r,modelmag_u,expab_r,devab_r,lnlexp_r,lnldev_r,lnlstar_r,fracdev_r,score,nnavgz
1237651754534568375,151.077400448941,2.65727440488901,20.99029,23.06663,0.6714824,0.6998888,-0.3698967,-0.7809736,-6.705471,0.0,0.8250403,0.436817
1237651754534568667,151.192328564496,2.68092951906207,18.97357,22.00525,0.7624878,0.6955381,-37.79374,-1.058396,-222.4226,1.0,0.8250403,0.331543
1237651754534634104,151.305054922389,2.60872272073358,19.96003,24.46727,0.4066033,0.3169025,-0.1834426,-0.1411779,-41.32607,0.7550516,0.8248284,0.383322
1237651752386036379,148.702600096846,0.962324646590154,20.93666,23.50876,0.6553569,0.5335467,-0.9429552,-1.304549,-8.98524,0.1129663,0.8221763,0.389989
1237651752386101553,148.933540120339,0.87709627330221,19.56982,20.98916,0.5943907,0.5634902,-1.465506,-18.59198,-188.0017,0.0,0.8113782,0.219391
1237651752386232396,149.276896399515,0.918956886343888,20.87452,24.63467,0.302776,0.1646082,-8.923828e-11,-1.183503e-09,-4.774062e-05,0.0,0.8135843,0.162711
1237651752386232884,149.275280425043,0.844963072801115,20.665,22.68323,0.5780243,0.5322954,-0.2528912,-1.005765,-8.619385,0.0,0.8135843,0.400105
1237651752386232887,149.277235936386,0.861317833803449,20.73586,22.49242,0.6236972,0.6026676,-0.1057518,-0.07266439,-0.8920287,0.9818537,0.8135843,0.273436
1237651752386298240,149.381608889033,0.964030073945705,20.55841,21.56336,0.5793407,0.3445374,-0.459672,-0.3608944,-4.98669,0.8221645,0.8060011,0.383666
1237651752386298450,149.381051633708,0.946931715983778,20.70798,23.53651,0.4825163,0.3868583,-0.5215641,-0.4522121,-1.221642,1.0,0.8060011,0.337433
1237651752386363947,149.49927852124,0.898813503483961,20.58978,24.91312,0.4259603,0.4461757,-0.1178095,-0.06729735,-2.853499,0.7968313,0.7997693,0.320095
1237651752386429238,149.614062406489,0.967665687392136,20.95742,22.76184,0.3725873,0.2928058,-0.137707,-0.2458257,-3.236826,0.0,0.8013774,0.343892
1237651752386495019,149.841815533413,0.866921826535687,20.48756,21.76388,0.2383516,0.1999938,-2.609484,-2.829538,-27.8551,0.4723463,0.8240908,0.271082
1237651752386560484,149.946727118337,0.895574703313153,20.24982,23.35833,0.4257461,0.3726583,-0.6849605,-0.5752549,-7.48779,0.9194467,0.8339629,0.29165
1237651752386560489,149.94775717054,0.891339177610261,20.41481,23.93306,0.9786568,0.8701223,-0.6392632,-0.1236678,-6.328032,1.0,0.8339629,0.3517
1237651752386560490,149.948103296054,0.890194704964119,20.47148,23.40683,0.6421971,0.4791723,-1.656437,-1.494246,-15.84144,0.7057865,0.8339629,0.234473
1237651752386560491,149.947818130625,0.943495377308267,20.81032,24.37745,0.3009257,0.2999496,-0.9886944,-1.372874,-14.89742,0.2072827,0.8339629,0.639941
1237651752386625890,150.171568087255,0.917849261817689,19.87349,21.53615,0.7504786,0.7584332,-0.004674864,-0.11474,-48.78697,0.3887599,0.8242483,0.147233
1237651752386691210,150.279153994544,0.892462445513385,20.38321,22.36683,0.3692673,0.2499944,-3.770547,-4.291065,-38.93822,0.4977456,0.8277453,0.225739
1237651752386691348,150.279738071731,0.962892374703894,19.15883,21.34966,0.9133818,0.9227167,-0.1055112,-15.85056,-404.4165,0.04771229,0.8277453,0.127404
1237651752386691514,150.279282027411,0.957084266276012,20.19132,24.04335,0.5429136,0.4999665,-4.480943,-1.4337,-16.54004,1.0,0.8277453,0.505007
1237651752386757063,150.3947659968,0.85910369774889,20.92546,21.68512,0.05,0.08701263,-3.632703,-2.317496,-5.14735,0.6889528,0.8305999,0.348293
1237651752386757066,150.394679671901,0.99222819493095,19.01217,20.68698,0.5348314,0.4598859,-0.1490045,-19.115,-498.9644,0.0,0.8305999,0.164747
1237651752386822503,150.505987238485,0.904081024570436,19.64462,21.74605,0.4686753,0.3799355,-0.4532136,-13.37042,-198.1021,0.0,0.8356155,0.312137
1237651752386822930,150.612486885862,0.871884939476926,20.56415,23.45698,0.276515,0.2352382,-0.4691051,-0.9720286,-24.1922,0.005347028,0.8356155,0.419951
1237651752386888260,150.733046219621,0.955186418288032,20.99328,24.04957,0.5734643,0.5078751,-0.5962628,-0.5891273,-1.164192,0.7675459,0.8327864,0.148086
1237651752387018898,151.067143866499,0.901006369104222,17.70835,20.39598,0.8751138,0.8864903,-119.7564,-18.47695,-2311.506,0.8028212,0.8229831,0.149065
1237651752387019235,151.069237015654,0.949758680967597,20.0296,21.63385,0.5591547,0.4793711,-0.2238565,-0.09992091,-27.36386,0.6893781,0.8229831,0.39076
