cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.5700000000000001,0.6100192687763337,0.6271366320999651,0.6021560504135993,0.4775549188156638
0.5750000000000001,0.614415783239464,0.6316080348602402,0.6070070488916273,0.48299653144322124
0.58,0.6256149346214378,0.6442615732657182,0.6215623433771226,0.4937478007339265
0.585,0.6317692300078197,0.6504289206382946,0.6279720987120714,0.5009990951591012
0.59,0.6386551779887225,0.6571868879340449,0.6346899269361461,0.5086651083295631
0.595,0.6455419508316259,0.6638142811593762,0.6412353263043669,0.5162620017091439
0.6,0.652413051296518,0.6704113083218195,0.6478450991121063,0.5237834916804907
0.605,0.6591059815692835,0.6767851449220351,0.6541835838533021,0.5308839792891972
0.61,0.6654376222857916,0.682823436527337,0.6602530795793655,0.5384180364952496
0.615,0.6716174883941917,0.688637019267267,0.6661340530896952,0.5455122404866033
0.62,0.6772174765161788,0.6940224405204743,0.6716057954487978,0.5527195495903081
0.625,0.6821765468637097,0.6987808025750422,0.6766499142453823,0.5591162720554969
0.63,0.6860451496464641,0.7027542019039521,0.6811123730348858,0.5641808676418841
0.635,0.6970620065263081,0.7151587385937477,0.6956768637260267,0.5757615744231639
0.64,0.7029812162425226,0.7210057240028545,0.7019371807192353,0.5837794701653848
0.645,0.7094860779791541,0.727267206170384,0.7083124502830133,0.5914643341879053
0.65,0.7160288833678126,0.7334421450586824,0.714538281505051,0.5993251394963053
0.655,0.72249992576242,0.7394713268451178,0.7205525999972411,0.6069660181973558
0.66,0.7287903233788987,0.7453167939510803,0.7262933313714761,0.6145754788116423
0.665,0.7350493762393552,0.7511121570532773,0.7322202859100335,0.6225556728497461
0.67,0.7408390826214775,0.7564171082398312,0.7376299538810287,0.6299012215352134
0.675,0.7462559513793342,0.7615261983207567,0.7430327246977897,0.6371965012818579
0.68,0.750921370854656,0.7659915278684543,0.7479044146385202,0.6439828080229226
0.685,0.759655834578875,0.7757709184215721,0.7596640626077681,0.6547466445483335
0.6900000000000001,0.7642651634381568,0.7805991224207826,0.7650645343731176,0.6616334891670437
0.6950000000000001,0.7697488460180612,0.7857993106903725,0.7706029492231505,0.668859649122807
0.7000000000000001,0.7756919767322927,0.7913471903800313,0.7763114938776261,0.6767518725179712
0.705,0.78171346933658,0.7969072164948454,0.7820246366349244,0.6846692303825467
0.71,0.7876260801567898,0.8022941560511971,0.7874136131432171,0.6921153169456593
0.715,0.793395989850898,0.8076492112415165,0.7927956924972757,0.6997310611772986
0.72,0.7988780227068012,0.8126338004646008,0.798046725920885,0.7069949228371789
0.725,0.8042157047126016,0.8175394379241759,0.803235684956387,0.7146232343035238
0.73,0.8089751584559903,0.8219850295309962,0.8079832261209026,0.7216734529734077
0.735,0.8127489021086772,0.8256608414436026,0.8121031262501092,0.7274669481727241
0.74,0.8206519049363041,0.8346173116924526,0.8230764986366625,0.739041371336651
0.745,0.8249279895473487,0.8389323292288539,0.8279619828858613,0.7463806364047655
0.75,0.83001408864297,0.8437772345626527,0.8330336902993825,0.7537638867943498
0.755,0.8354103358508121,0.8486251765027405,0.8380594166846759,0.7609837631327603
0.76,0.840629237728528,0.8533622823132867,0.842816154054837,0.7679208766902931
0.765,0.8457466815801716,0.8579414845968146,0.8474947236770108,0.7751784547328205
0.77,0.8507255486157166,0.8623885945067792,0.8521709942477733,0.7819647614738853
0.775,0.8555938841431828,0.8667521977438015,0.856711620785264,0.7890463982305334
0.78,0.860016794190332,0.8706830845846681,0.8609786602047995,0.7958641230583622
0.785,0.863910142833104,0.8742693166117547,0.8649882058662596,0.8022168602020812
0.79,0.8670487427453387,0.8774668630338733,0.8687264634611759,0.8076836072990499
0.795,0.8740567703023284,0.8853757041130832,0.8786330759928453,0.81871135575328
0.8,0.877950943807101,0.8890120401439351,0.8827575742248748,0.825409691851405
0.805,0.8824431422622995,0.8930886840866648,0.8871257719065114,0.8324724777559945
0.81,0.8870005048155444,0.897089412872174,0.8913606246062874,0.8389320363947117
0.8150000000000001,0.8913755728666594,0.9008426582451452,0.8952460214915325,0.8450522796963756
0.8200000000000001,0.8957687878817874,0.9047219227791021,0.8992946510269862,0.8514301513095058
0.8250000000000001,0.9000423979068302,0.9084053262074305,0.9032352251461048,0.8578268737746946
0.8300000000000001,0.9040685493316968,0.9120188876911164,0.9070608466946538,0.8641419092142965
0.835,0.9077358857863079,0.9152756479358669,0.9105898906111338,0.8700296586739054
0.84,0.9106954906444152,0.9180678074184292,0.9137418900961464,0.8752513446941135
0.845,0.9158236577020664,0.9238115482137164,0.9211425365894033,0.884444276881315
0.85,0.9184401199679294,0.9264640238069933,0.9242462559947765,0.8897602171618157
0.855,0.9217197712822645,0.9293275435373427,0.9274304421995485,0.8948750816870256
0.86,0.9252501806447782,0.9324932055934287,0.9308560288025161,0.9007125622078118
0.865,0.9288045110053088,0.9355799158860058,0.934099990343984,0.906242145478309
0.87,0.932339869539826,0.9386392967219835,0.937343951885452,0.9117842959835117
0.875,0.9356013738901482,0.9414618222674339,0.9402269623553322,0.9167420700749007
0.88,0.9388125616584345,0.9441947679273643,0.9431007766195668,0.9216935605489368
0.885,0.9417548444145295,0.9467561453319769,0.9458573392618206,0.9262491831297441
0.89,0.944330063580363,0.9490017156825532,0.9483380157347079,0.9304843412255567
0.895,0.9462660146957415,0.9509572901325478,0.9506071794777475,0.9340408686472629
0.9,0.9498574638462985,0.9550308974689886,0.9557984375646609,0.9406826521892123
0.905,0.9520045796338272,0.9571018629579582,0.958118180438751,0.9446287638867944
0.91,0.9544824650835915,0.9592654449387364,0.9604379233128412,0.9487256824008445
0.915,0.9569661245673599,0.9613895510377602,0.9625852373310771,0.9524581511084301
0.92,0.9594233884671095,0.9635136571367839,0.9647624390176613,0.9561906198160157
0.925,0.9617099059327374,0.9654419021301793,0.9667373241800433,0.9594958025436083
0.93,0.9638091797242322,0.9672259083248561,0.9685880605662104,0.9625433569597346
0.935,0.9658102949376569,0.9689552556063343,0.9704089092840295,0.9655532096717439
0.9400000000000001,0.9676604604049742,0.970596541305437,0.972073422505874,0.9682740159855225
0.9450000000000001,0.9692021274840719,0.9720313377769005,0.9736413755684404,0.9708000301613633
0.9500000000000001,0.9714787466056929,0.9745805687563579,0.9768554494415604,0.9748655305886492
0.9550000000000001,0.9727061412625668,0.9757602902995612,0.9782164878771019,0.9771150656009652
0.96,0.9741809945196168,0.9770736225194723,0.9795430405414726,0.9792389282662243
0.965,0.975783701386758,0.9784036560739717,0.9808695932058432,0.981306238375308
0.97,0.977304746915841,0.9797306530221824,0.9821524638933976,0.9832541597546876
0.975,0.9788010465849063,0.9809604785691511,0.9833157839075597,0.9850324234655407
0.98,0.9802833235999617,0.9822707741827733,0.9845549726182977,0.9866221786558086
0.985,0.9817383801689977,0.9834702336668539,0.9857389840951624,0.9881302468204897
0.99,0.9832181825980514,0.9847410533987216,0.9869183974692042,0.9896823003066405
0.995,0.984919872905263,0.9862897226060156,0.9883599027041443,0.9912532046448499
1.0,1.0,1.0,1.0,1.0
